
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  3.31E-006  4.748E-006 4.535E-009 6.505E-009
_hvmv_sub_lsb             7.55      1.049    0.02078     0.2753  0.009771    0.1294
hvmv_sub_48332            7.55      1.049    0.02078     0.2753  0.009771    0.1294
m1009763                  7.29      1.013     0.2261      3.102    0.2759     3.785
l2673322                 7.299      1.014          0          0         0         0
m1069148                 7.415       1.03          0          0         0         0
l2673309                 7.415       1.03          0          0         0         0
m1069588                 7.252      1.007          0          0         0         0
l2804270                 7.252      1.007          0          0         0         0
m3036164                 7.167     0.9955          0          0         0         0
l2935553                 7.165     0.9953          0          0         0         0
m1209749                 7.376      1.024          0          0         0         0
l2748840                 7.375      1.024          0          0         0         0
m1108264                 7.416       1.03          0          0         0         0
m1108263                 7.415       1.03          0          0         0         0
l3085398                 7.324      1.017     0.2275      3.106    0.2685     3.666
m1026891                 7.321      1.017      0.228      3.115    0.2682     3.664
l3216367                 7.316      1.016      0.234      3.199    0.1997     2.729
m1069468                 7.315      1.016     0.2342      3.202    0.1992     2.724
m1142800                 7.197     0.9996          0          0         0         0
m1142799                 7.197     0.9996          0          0         0         0
m1047592                 7.403      1.028     0.2303      3.112    0.2369     3.201
p827512                  7.408      1.029          0          0         0         0
m1047339                 7.298      1.014    0.06778     0.9286   0.09825     1.346
p895104                  7.266      1.009          0          0         0         0
m1026915                 7.324      1.017     0.2265      3.092    0.2693     3.677
m1026920                 7.323      1.017     0.2261      3.088    0.2697     3.683
n1138596                 7.332      1.018          0          0         0         0
l3254207                 7.332      1.018          0          0         0         0
m1069464                 7.312      1.016     0.2347      3.209    0.1984     2.713
p873787                  7.299      1.014          0          0         0         0
n1144665                 7.413       1.03     0.2302      3.106    0.2247     3.031
m1047515                 7.409      1.029     0.2297      3.101    0.2249     3.036
n1137002                  7.39      1.026          0          0         0         0
m1047707                 7.389      1.026          0          0         0         0
l2729406                  7.26      1.008          0          0         0         0
l2897768                  7.26      1.008          0          0         0         0
l3649301                 7.367      1.023          0          0         0         0
l3649302                 7.367      1.023          0          0         0         0
l2970842                 7.438      1.033          0          0         0         0
m1089113                 7.437      1.033          0          0         0         0
m1047312                 7.272       1.01    0.07274          1    0.1088     1.496
p893163                  7.231      1.004          0          0         0         0
l2822871                 7.351      1.021     0.2253      3.065    0.2638     3.589
m1026872                 7.349      1.021     0.2254      3.067    0.2642     3.596
m1026312                 7.021     0.9752          0          0         0         0
l2973163                 7.018     0.9748          0          0         0         0
l3728038                 7.356      1.022          0          0         0         0
l3728039                 7.356      1.022          0          0         0         0
m1069567                 7.265      1.009          0          0         0         0
m1069582                 7.256      1.008          0          0         0         0
n1140830                  7.22      1.003          0          0         0         0
l3216351                  7.22      1.003          0          0         0         0
l2952007                 7.378      1.025          0          0         0         0
l2861158                 7.377      1.025          0          0         0         0
n1140827                 7.287      1.012     0.1914      2.627    0.2692     3.694
m1026726                 7.286      1.012     0.1914      2.627    0.2692     3.694
l2730106                 7.106      0.987     0.1468      2.066    0.2862     4.028
n1142099                 7.104     0.9868     0.1473      2.073    0.2875     4.046
m1026658                  7.28      1.011     0.1892      2.598      0.27     3.708
l3172805                 7.218      1.003          0          0         0         0
p895112                  7.123     0.9894          0          0         0         0
l3048962                 7.123     0.9894          0          0         0         0
l2991914                 7.371      1.024     0.2236      3.034    0.2297     3.116
m1047503                 7.369      1.023     0.2228      3.024    0.2306      3.13
m1047751                 7.346       1.02          0          0         0         0
l2973154                 7.346       1.02          0          0         0         0
l3010565                 7.412       1.03          0          0         0         0
l2897775                 7.412      1.029          0          0         0         0
m1125955                 7.457      1.036          0          0         0         0
m1125957                 7.457      1.036          0          0         0         0
m1069640                 7.228      1.004          0          0         0         0
l2804269                 7.227      1.004          0          0         0         0
m1026702                 7.302      1.014     0.1964      2.689    0.2637     3.611
n1139551                 7.296      1.013     0.1938      2.656    0.2671     3.661
n1136355                 7.306      1.015          0          0         0         0
l2783231                 7.298      1.014          0          0         0         0
l2748143                 7.223      1.003          0          0         0         0
l3251854                 7.223      1.003          0          0         0         0
m1069610                 7.239      1.005          0          0         0         0
m1069600                 7.239      1.005          0          0         0         0
m1069424                 7.296      1.013     0.2381      3.263    0.1923     2.635
l2935549                 7.294      1.013     0.2386      3.271    0.1916     2.626
p895089                  7.504      1.042          0          0         0         0
l3235242                 7.503      1.042          0          0         0         0
m1026795                 7.348      1.021     0.2148      2.923    0.2404     3.271
n1140522                 7.332      1.018          0          0         0         0
l3030199                 7.269       1.01    0.07966      1.096    0.1115     1.534
m1125934                 7.268       1.01    0.07957      1.095    0.1112      1.53
m1069189                 7.413       1.03    0.04774     0.6439    0.0383    0.5166
l2860487                 7.431      1.032          0          0         0         0
221-312488               7.116     0.9883     0.1393      1.957    0.2622     3.685
m1089183                 7.116     0.9883     0.1393      1.957    0.2622     3.685
m1108464                 7.042     0.9781          0          0         0         0
l3102286                 7.041      0.978          0          0         0         0
f739845                  7.255      1.008    0.07734      1.066    0.1154      1.59
293471                   7.255      1.008    0.07734      1.066    0.1154      1.59
p827499                  7.339      1.019          0          0         0         0
n1139254                 7.339      1.019          0          0         0         0
m1026657                 7.215      1.002          0          0         0         0
m1026656                 7.215      1.002          0          0         0         0
m1108299                 7.165     0.9953          0          0         0         0
m1108300                 7.165     0.9953          0          0         0         0
l3198355                 7.165     0.9952          0          0         0         0
l2805037                 7.165     0.9952          0          0         0         0
n1137994                 7.316      1.016          0          0         0         0
m1069484                 7.315      1.016          0          0         0         0
l2860504                 7.221      1.003          0          0         0         0
l2860493                  7.22      1.003          0          0         0         0
m1026783                 7.342       1.02     0.2123      2.892    0.2435     3.316
m1026780                 7.341       1.02     0.2119      2.887     0.244     3.323
p895111                   7.46      1.036          0          0         0         0
l2895496                  7.46      1.036          0          0         0         0
n1140819                  7.29      1.013     0.1922      2.637    0.2685     3.683
m1026700                 7.289      1.012      0.192      2.635    0.2686     3.685
m1089173                 7.263      1.009          0          0         0         0
l2935551                 7.262      1.009          0          0         0         0
m1026344                 7.168     0.9957          0          0         0         0
