Loading (p.u.),Name,Bus1,Bus2
1.0004646755859559,Line.l(r:p1ulv42997-udm48091),udm48091.1.2,p1ulv42997.1.2
1.0015500095893763,Line.l(r:p1ulv59484-udt20685lv),udt20685lv.1.2,p1ulv59484.1.2
1.0017125043556434,Line.l(r:p1ulv5460-udt2514lv),udt2514lv.1.2.3,p1ulv5460.1.2.3
1.0026859077317054,Line.l(r:udm27643-udt7520lv),udt7520lv.1.2,udm27643.1.2
1.0026859118865439,Line.l(r:p1ulv24050-udm27643),udm27643.1.2,p1ulv24050.1.2
1.002997401078998,Line.padswitch(r:udt17926-udt19137)u_81850,udt17926.1.2.3,udt17926-udt19137x.1.2.3
1.003205229810075,Line.l(r:p1ulv33320-udt3801lv),udt3801lv.1.2,p1ulv33320.1.2
1.0037654614564242,Line.l(r:p1ulv48788-udt18601lv),udt18601lv.1.2,p1ulv48788.1.2
1.0043257648513628,Line.l(r:p1ulv11673-udt5351lv),udt5351lv.1.2,p1ulv11673.1.2
1.004493113641794,Line.l(r:udm35154-udt10141lv),udt10141lv.1.2,udm35154.1.2
1.0044931302097666,Line.l(r:p1ulv27660-udm35154),udm35154.1.2,p1ulv27660.1.2
1.0045393381855363,Line.l(r:udm1601-udt409lv),udt409lv.1.2,udm1601.1.2
1.0047329996214103,Line.l(r:udm7542-udt1879lv),udt1879lv.1.2,udm7542.1.2
1.0048399730377677,Line.l(r:udm32012-udt9043lv),udt9043lv.1.2,udm32012.1.2
1.0048428795677422,Line.l(r:p1ulv33025-udm35670),udm35670.1.2,p1ulv33025.1.2
1.005737470698627,Line.l(r:udm17181-udt4530lv),udt4530lv.1.2,udm17181.1.2
1.0057374841330777,Line.l(r:p1ulv30542-udm17181),udm17181.1.2,p1ulv30542.1.2
1.006067521556534,Line.l(r:udm2172-udt536lv),udt536lv.1.2,udm2172.1.2
1.0077996658429487,Line.l(r:p1ulv9999-udt4635lv),udt4635lv.1.2,p1ulv9999.1.2
