OpenDSS Value (p.u.),Bus
1.0500011820341821,p1ulv16382
1.0500027182785003,p1ulv36227
1.0500068589742648,p1ulv49388
1.0500207141352567,udm430
1.050052136336724,p1ulv58295
1.0500965878287905,p1ulv42042
1.0501143399238366,udm41242
1.0501164569768888,p1ulv14427
1.0501874480173607,udm49094
1.0502326513187228,p1ulv47799
1.0502416144251843,p1ulv20585
1.0502799230179576,p1ulv50659
1.0502887076082776,p1ulv3803
1.050294925420714,p1ulv53060
1.050295044586974,p1ulv42350
1.0503084867622952,p1ulv28952
1.0503153968889973,p1ulv12667
1.0503524773918764,p1ulv28160
1.0503559760935184,udt13183lv
1.0503752309626526,udm53362
1.0504029948040396,p1ulv49469
1.0504077163702894,p1ulv40511
1.0504128038773732,p1ulv12264
1.0504178685849488,udm20305
1.05041877272583,p1ulv47618
1.050443472620334,p1ulv3748
1.0504566930628025,p1ulv38564
1.0504847841439517,udm136
1.050509761605038,p1ulv54601
1.0505118886077707,p1ulv47210
1.0505510048605358,p1ulv51001
1.0505531267503296,p1ulv44531
1.050556630489135,p1ulv5784
1.0505675633443543,p1ulv41443
1.0505816751287422,udm9891
1.0506131253961208,p1ulv27640
1.0506168296429648,udt2249lv
1.0506313394171591,p1ulv38665
1.0506319315576675,p1ulv30122
1.050636123289622,p1ulv22205
1.0506676534726616,p1ulv50794
1.0506755402382815,p1ulv52855
1.0506904754037543,p1ulv37940
1.050695759205564,p1ulv27883
1.0507900002821253,p1ulv40969
1.0508366761680243,p1ulv56406
1.0508473672179497,p1ulv3738
1.0508533840325123,udm51655
1.050855743373551,p1ulv31559
1.0508873592626164,p1ulv28963
1.0509243511624449,udm55104
1.0509300550153493,udm34413
1.0509321591839769,p1ulv9792
1.0509527822954279,p1ulv15954
1.0510105532368401,udm58161
1.0510231517253883,udm44744
1.051032680405834,p1ulv3792
1.0510615605948608,udm36396
1.0511123020846294,p1ulv50168
1.051130807582553,p1ulv20875
1.0511505490518411,p1ulv37100
1.0511563530569503,p1ulv29945
1.051163621649978,udm11369
