Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.0001800728744992,Transformer.tr(r:udt14622-udt14622lv),udt14622.3,75.0,1
1.0004248959266362,Transformer.tr(r:udt1217-udt1217lv),udt1217,75.0,3
1.002332346369677,Transformer.tr(r:udt28-udt28lv),udt28,75.0,3
1.0030246184318965,Transformer.tr(r:udt1939-udt1939lv),udt1939,75.0,3
1.0030765972248317,Transformer.tr(r:udt3681-udt3681lv),udt3681,75.0,3
1.0033364217287462,Transformer.tr(r:udt15058-udt15058lv),udt15058,75.0,3
1.0064579414099277,Transformer.tr(r:udt19662-udt19662lv),udt19662,75.0,3
1.006681009280288,Transformer.tr(r:udt14566-udt14566lv),udt14566,75.0,3
1.0067915018133098,Transformer.tr(r:udt7797-udt7797lv),udt7797,75.0,3
1.007670604495095,Transformer.tr(r:udt12499-udt12499lv),udt12499,75.0,3
1.0110113509738983,Transformer.tr(r:udt18216-udt18216lv),udt18216,75.0,3
1.0111128265073739,Transformer.tr(r:udt18365-udt18365lv),udt18365,75.0,3
1.0111827656602117,Transformer.tr(r:udt17884-udt17884lv),udt17884,75.0,3
1.0114969993297018,Transformer.tr(r:udt8948-udt8948lv),udt8948,75.0,3
1.0119685519961854,Transformer.tr(r:udt9023-udt9023lv),udt9023.2,75.0,1
1.0122152512616858,Transformer.tr(r:udt9875-udt9875lv),udt9875,75.0,3
1.012953152285051,Transformer.tr(r:udt15076-udt15076lv),udt15076,75.0,3
1.01409353495541,Transformer.tr(r:udt5126-udt5126lv),udt5126.3,75.0,1
1.0159771785279585,Transformer.tr(r:udt6804-udt6804lv),udt6804.3,75.0,1
1.0161486725688496,Transformer.tr(r:udt14991-udt14991lv),udt14991,75.0,3
1.017582032634204,Transformer.tr(r:udt13201-udt13201lv),udt13201,75.0,3
1.018307915274936,Transformer.tr(r:udt19841-udt19841lv),udt19841,75.0,3
1.0183460995150417,Transformer.tr(r:udt20017-udt20017lv),udt20017,75.0,3
1.01861247892266,Transformer.tr(r:udt11081-udt11081lv),udt11081.3,75.0,1
1.0187319061935871,Transformer.tr(r:udt14245-udt14245lv),udt14245,150.0,3
1.019261042296229,Transformer.tr(r:udt6412-udt6412lv),udt6412.3,75.0,1
1.0194073006539301,Transformer.tr(r:udt19159-udt19159lv),udt19159,75.0,3
1.0196536200011241,Transformer.tr(r:udt16194-udt16194lv),udt16194,75.0,3
1.0205749665095851,Transformer.tr(r:udt3016-udt3016lv),udt3016,150.0,3
1.0205835848559637,Transformer.tr(r:udt1604-udt1604lv),udt1604,75.0,3
1.021009896850828,Transformer.tr(r:udt14777-udt14777lv),udt14777.1,75.0,1
1.021675343911023,Transformer.tr(r:udt20394-udt20394lv),udt20394,75.0,3
1.0233843598827512,Transformer.tr(r:udt53-udt53lv),udt53.3,50.0,1
1.023632175387225,Transformer.tr(r:udt20607-udt20607lv),udt20607,75.0,3
1.0256805436511132,Transformer.tr(r:udt19279-udt19279lv),udt19279,75.0,3
1.0262640997667896,Transformer.tr(r:udt18245-udt18245lv),udt18245,75.0,3
1.0264582442939356,Transformer.tr(r:udt10735-udt10735lv),udt10735,75.0,3
1.0281160476348423,Transformer.tr(r:udt729-udt729lv),udt729,75.0,3
1.028451805797072,Transformer.tr(r:udt14746-udt14746lv),udt14746,75.0,3
1.0295825219846553,Transformer.tr(r:udt15198-udt15198lv),udt15198,75.0,3
1.0320211022412407,Transformer.tr(r:udt12989-udt12989lv),udt12989,75.0,3
1.0322001283738746,Transformer.tr(r:udt6921-udt6921lv),udt6921,75.0,3
1.0324561704472808,Transformer.tr(r:udt18318-udt18318lv),udt18318,75.0,3
1.0326376433111248,Transformer.tr(r:udt16250-udt16250lv),udt16250.2,75.0,1
1.0338552480999865,Transformer.tr(r:udt11589-udt11589lv),udt11589.3,75.0,1
1.0341691758306217,Transformer.tr(r:udt20749-udt20749lv),udt20749,75.0,3
1.0354145194788875,Transformer.tr(r:udt1226-udt1226lv),udt1226,75.0,3
1.0355895853342978,Transformer.tr(r:udt15943-udt15943lv),udt15943,75.0,3
1.0366589298960112,Transformer.tr(r:udt1059-udt1059lv),udt1059,75.0,3
1.0366996631063976,Transformer.tr(r:udt10713-udt10713lv),udt10713,75.0,3
1.0368523892502508,Transformer.tr(r:udt9073-udt9073lv),udt9073,75.0,3
1.038818015896171,Transformer.tr(r:udt19455-udt19455lv),udt19455,75.0,3
1.0388402509462438,Transformer.tr(r:udt19609-udt19609lv),udt19609,75.0,3
1.0389315092811584,Transformer.tr(r:udt18315-udt18315lv),udt18315,75.0,3
1.0390030533694268,Transformer.tr(r:udt19922-udt19922lv),udt19922,75.0,3
1.040774154653652,Transformer.tr(r:udt15003-udt15003lv),udt15003,75.0,3
1.0419107164069052,Transformer.tr(r:udt9897-udt9897lv),udt9897,75.0,3
1.0429334019885632,Transformer.tr(r:udt12561-udt12561lv),udt12561,75.0,3
1.0441265431489055,Transformer.tr(r:udt7132-udt7132lv),udt7132,75.0,3
1.0448646282672895,Transformer.tr(r:udt12592-udt12592lv),udt12592,75.0,3
1.0453255353196917,Transformer.tr(r:udt19150-udt19150lv),udt19150.2,50.0,1
1.0465065200605161,Transformer.tr(r:udt15894-udt15894lv),udt15894.1,75.0,1
1.0466257842786058,Transformer.tr(r:udt16173-udt16173lv),udt16173,75.0,3
1.0481663480354466,Transformer.tr(r:udt27-udt27lv),udt27,75.0,3
1.0490090105561687,Transformer.tr(r:udt15347-udt15347lv),udt15347,75.0,3
1.0509707974064884,Transformer.tr(r:udt20812-udt20812lv),udt20812,75.0,3
1.0518528608678892,Transformer.tr(r:udt20031-udt20031lv),udt20031,75.0,3
1.0529222400041673,Transformer.tr(r:udt16694-udt16694lv),udt16694,75.0,3
1.0531346420441323,Transformer.tr(r:udt18206-udt18206lv),udt18206,75.0,3
1.053390664327388,Transformer.tr(r:udt11861-udt11861lv),udt11861,75.0,3
1.0534027895427311,Transformer.tr(r:udt14360-udt14360lv),udt14360,75.0,3
1.054855335732046,Transformer.tr(r:udt18156-udt18156lv),udt18156,75.0,3
1.0553180427463484,Transformer.tr(r:udt14279-udt14279lv),udt14279.3,75.0,1
1.055973668322621,Transformer.tr(r:udt18994-udt18994lv),udt18994,75.0,3
1.0563096498455637,Transformer.tr(r:udt15448-udt15448lv),udt15448,75.0,3
1.0573401387428036,Transformer.tr(r:udt18197-udt18197lv),udt18197.2,75.0,1
1.0584408868509974,Transformer.tr(r:udt11100-udt11100lv),udt11100.3,75.0,1
1.0589622423648282,Transformer.tr(r:udt14374-udt14374lv),udt14374,75.0,3
1.0601220692923536,Transformer.tr(r:udt14140-udt14140lv),udt14140,300.0,3
1.0621822231819718,Transformer.tr(r:udt14438-udt14438lv),udt14438,75.0,3
1.0627350676660683,Transformer.tr(r:udt12283-udt12283lv),udt12283,75.0,3
1.0631242220773378,Transformer.tr(r:udt20221-udt20221lv),udt20221,75.0,3
1.064184426531695,Transformer.tr(r:udt16363-udt16363lv),udt16363,75.0,3
1.065191051946386,Transformer.tr(r:udt20872-udt20872lv),udt20872,75.0,3
1.066881901033253,Transformer.tr(r:udt14336-udt14336lv),udt14336,75.0,3
1.0669893212693717,Transformer.tr(r:udt19241-udt19241lv),udt19241,75.0,3
1.0669952820724309,Transformer.tr(r:udt18446-udt18446lv),udt18446,75.0,3
1.0671754380996414,Transformer.tr(r:udt17218-udt17218lv),udt17218,75.0,3
1.068782059210339,Transformer.tr(r:udt18625-udt18625lv),udt18625,75.0,3
1.0719526213281805,Transformer.tr(r:udt18978-udt18978lv),udt18978.3,75.0,1
1.0759352882636708,Transformer.tr(r:udt13020-udt13020lv),udt13020,75.0,3
1.078013097261717,Transformer.tr(r:udt16174-udt16174lv),udt16174,75.0,3
1.0808202339150008,Transformer.tr(r:udt12403-udt12403lv),udt12403.3,75.0,1
1.086908409128178,Transformer.tr(r:udt20194-udt20194lv),udt20194,75.0,3
1.0924108326754953,Transformer.tr(r:udt17313-udt17313lv),udt17313,75.0,3
1.093687602332289,Transformer.tr(r:udt17790-udt17790lv),udt17790,75.0,3
1.099762830320904,Transformer.tr(r:udt12183-udt12183lv),udt12183.3,50.0,1
1.1055710736906306,Transformer.tr(r:udt9555-udt9555lv),udt9555,300.0,3
1.1068308593462333,Transformer.tr(r:udt5559-udt5559lv),udt5559.2,75.0,1
1.1080968327461567,Transformer.tr(r:udt1531-udt1531lv),udt1531.1,75.0,1
1.1180643610523295,Transformer.tr(r:udt14791-udt14791lv),udt14791.1,75.0,1
1.13380888077702,Transformer.tr(r:udt7861-udt7861lv),udt7861.3,75.0,1
1.137259482215334,Transformer.tr(r:udt118-udt118lv),udt118.2,75.0,1
1.1513391321329398,Transformer.tr(r:udt11955-udt11955lv),udt11955,150.0,3
1.1533743973863775,Transformer.tr(r:udt8351-udt8351lv),udt8351,150.0,3
1.1579064110583797,Transformer.tr(r:udt2250-udt2250lv),udt2250.1,50.0,1
1.159035147379047,Transformer.tr(r:udt10875-udt10875lv),udt10875.1,75.0,1
1.1664795050171177,Transformer.tr(r:udt4547-udt4547lv),udt4547.3,50.0,1
1.1688426878685199,Transformer.tr(r:udt5230-udt5230lv),udt5230.1,50.0,1
1.1722541287841846,Transformer.tr(r:udt11879-udt11879lv),udt11879.2,50.0,1
1.175028791526305,Transformer.tr(r:udt274-udt274lv),udt274.2,50.0,1
1.1792197339064294,Transformer.tr(r:udt6803-udt6803lv),udt6803.3,50.0,1
1.1831796554489493,Transformer.tr(r:udt3395-udt3395lv),udt3395.1,75.0,1
1.1859569209808984,Transformer.tr(r:udt6802-udt6802lv),udt6802.1,50.0,1
1.1929486085459224,Transformer.tr(r:udt6818-udt6818lv),udt6818.3,50.0,1
1.193488919303725,Transformer.tr(r:udt14715-udt14715lv),udt14715,150.0,3
1.195423573495843,Transformer.tr(r:udt18889-udt18889lv),udt18889.1,50.0,1
