OpenDSS Value (p.u.),Bus
0.0,udt5106
0.0,udm3204
0.0,udm3201
0.0,udm3186
0.0,udm3184
0.0,udm3183
0.0,udm3181
0.0,udm3182
0.0,udm3171
0.0,udm3170
0.0,udm2972
0.0,udt10145-udt13377xx
0.0,udt10145-udt13377x
0.0,udt20472-udt20541xx
0.0,udt20472-udt20541x
0.0,udt15639-udt18540xx
0.0,udt15639-udt18540x
0.0,udt1223-udt18001xx
0.0,udt11064-udt12926x
0.0,udt11799-udt13049x
0.0,udt11799-udt13049xx
0.0,udt14964-udt17800x
0.0,udt14964-udt17800xx
0.0,udt15207-udt17351x
0.0,udm3203
0.0,udt15207-udt17351xx
0.0,udt13694-udt4531xx
0.0,udt18610-udt4202x
0.0,udt18610-udt4202xx
0.0,udt12054-udt13296xx
0.0,udt12054-udt13296x
0.0,udt1223-udt18001x
0.0,udt13694-udt4531x
0.0,udm3202
0.0,udm3239
0.0,udm3238
0.0,udm3301
0.0,udm3305
0.0,udm8729
0.0,udm8731
0.0,udm8728
0.0,udm8732
0.0,udm3302
0.0,udm8733
0.0,udm15530
0.0,udm15528
0.0,udm15531
0.0,udm15535
0.0,udm15532
0.0,udm15533
0.0,udm8734
0.0,udt11064-udt12926xx
0.0,udm3300
0.0,udm3298
0.0,udm3240
0.0,udm3271
0.0,udm3268
0.0,udm3273
0.0,udm3266
0.0,udm3270
0.0,udm3299
0.0,udm3267
0.0,udm3281
0.0,udm3282
0.0,udm3288
0.0,udm3291
0.0,udm3290
0.0,udm3297
0.0,udm3280
0.0,udm16047
0.0,udt13982-udt16156x
0.0,udt16843-udt19815xx
0.0,udt15412-udt20790xx
0.0,udt16427-udt18847xx
0.0,udt16427-udt18847x
0.0,udt3033-udt3044xx
0.0,udt3033-udt3044x
0.0,udt20235-udt3025x
0.0,udt20235-udt3025xx
0.0,udt17639-udt18510x
0.0,udt17639-udt18510xx
0.0,udt15259-udt17841x
0.0,udt15259-udt17841xx
0.0,udt11786-udt5646x
0.0,udt11786-udt5646xx
0.0,udt1330-udt13314xx
0.0,udt1330-udt13314x
0.0,udt12966-udt14576xx
0.0,udt12966-udt14576x
0.0,udt14502-udt7929xx
0.0,udt14502-udt7929x
0.0,p1umv22-uhs11_1247x
0.0,p1umv22-uhs11_1247x_b1_1
0.0,p1umv22-udt7929x
0.0,p1umv22-udt7929xx
0.0,udt15412-udt20790x
0.0,p1umv22-udt9722x
0.0,udt5106-udt7929xxx
0.0,udt7127-udt7929xxx
0.0,udt14502-udt7929xxx
0.0,p1umv22-uhs11_1247x_b2_1
0.0,udt4867-udt9370x
0.0,udt4867-udt9370xx
0.0,p1umv22-udt9722xx
0.0,udt16862-udt17897x
0.0,udt16862-udt17897xx
0.0,udt20387-udt956x
0.0,udt2300-udt2302xx
