Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.1316733475394536,Transformer.tr(r:udt118-udt118lv),udt118.2,75.0,1
1.3325909542818757,Transformer.tr(r:udt18193-udt18193lv),udt18193.1,50.0,1
1.3794364056289803,Transformer.tr(r:udt1030-udt1030lv),udt1030.3,50.0,1
1.3964621176215526,Transformer.tr(r:udt1340-udt1340lv),udt1340.1,50.0,1
1.4849462777608442,Transformer.tr(r:udt3981-udt3981lv),udt3981.3,50.0,1
1.496774118172843,Transformer.tr(r:udt1026-udt1026lv),udt1026.3,50.0,1
1.506900631879737,Transformer.tr(r:udt1349-udt1349lv),udt1349.2,50.0,1
1.6168840368567663,Transformer.tr(r:udt13761-udt13761lv),udt13761.1,50.0,1
1.6300328106999118,Transformer.tr(r:udt1342-udt1342lv),udt1342.3,50.0,1
1.7992603030797067,Transformer.tr(r:udt4689-udt4689lv),udt4689.3,50.0,1
2.959784716458534,Transformer.tr(r:udt12262-udt12262lv),udt12262.3,25.0,1
3.4208701892392095,Transformer.tr(r:udt4712-udt4712lv),udt4712.3,25.0,1
3.52763139150338,Transformer.tr(r:udt11406-udt11406lv),udt11406.2,25.0,1
