OpenDSS Value (p.u.),Bus
0.0,udt5106lv
0.0,p1umv22
0.0,udt14502
0.0,udt14502-udt7929xxx
0.0,udt7127
0.0,udt7127-udt7929xxx
0.0,udt5106
0.0,udt5106-udt7929xxx
0.0,p1umv22-udt9722xx
0.0,p1umv22-udt9722x
0.0,p1umv22-udt7929xx
0.0,p1umv22-udt7929x
0.0,p1ulv16499
0.0,udt7929lv
0.0,p1umv22-uhs11_1247x_b1_1
0.0,p1umv22-uhs11_1247x
0.0,udt14502-udt7929x
0.0,udt14502-udt7929xx
0.0,p1ulv11174
0.0,p1ulv11177
0.0,p1ulv11178
0.0,p1ulv31036
0.0,udt7127lv
0.0,p1ulv14926
0.0,udt7929
0.0,p1ulv15027
0.0,udt14502lv
0.0,p1ulv35923
0.0,udt5106-udt7929xx
0.0,udt5106-udt7929x
0.0,udt7127-udt7929xx
0.0,udt7127-udt7929x
0.0,p1ulv18436
0.0,p1umv22-uhs11_1247x_b2_1
