OpenDSS Value (p.u.),Bus
1.0025122978086822,p1ulv38540
1.0046745076756713,p1ulv26507
1.0046908488951811,udm36805
1.0052031082619757,p1ulv45769
1.0054851522874575,udm10803
1.0059339719420204,p1ulv49356
1.0059856038123032,p1ulv40892
1.0062268912035193,udm10813
1.0076776880484708,udm10790
1.0077280553539676,p1ulv20244
1.0084559823004922,p1ulv23516
1.0089239852707361,p1ulv23863
1.0089678357484886,p1ulv33975
1.0091465992772308,p1ulv40681
1.0096210347586276,p1ulv24007
1.0098752256729377,p1ulv50797
1.0100150330185338,p1ulv5948
1.0100737681184082,udm10789
1.0100820251547142,udm10808
1.0102490759112945,p1ulv22227
1.0103215680471256,p1ulv38704
1.0103403858302031,p1ulv18665
1.0105606480201421,p1ulv35467
1.0107333186126246,p1ulv31540
1.0108239528550853,p1ulv41210
1.0109491469315106,udm23987
1.0110713462730665,udm41461
1.0111804425686857,p1ulv30342
1.0111908882082914,p1ulv26029
1.0112563347381736,udm29074
1.011326932965877,udm23175
1.0113882220536365,udm10870
1.0114400270301984,p1ulv25682
1.0116227643586069,udm10868
1.0117235273316658,udm24738
1.0118317472079654,udt9406lv
1.0119095164855594,p1ulv32251
1.0119573534675814,udm10807
1.0121242938006008,udm31561
1.012267993695508,p1ulv38772
1.01227604938608,p1ulv5926
1.012280849293178,udm44256
1.012530111463285,udm41455
1.012539361831249,p1ulv37145
1.0126094036040856,udm23988
1.012683801941962,p1ulv44375
1.012740177218455,p1ulv47820
1.0127412780113394,p1ulv49193
1.0128671770995712,p1ulv36242
1.0129494272768644,p1ulv38310
1.013012208642392,udt2717lv
1.0130373392238123,p1ulv31327
1.0131487483531032,p1ulv28095
1.0132274707666924,p1ulv45489
1.0132401332459362,p1ulv21971
1.0133625825430659,p1ulv34543
1.0134191798924188,p1ulv31818
1.0134360302168868,p1ulv24010
1.0135373767465978,p1ulv18534
1.0137105422805428,p1ulv14818
1.0137723439456976,p1ulv32029
1.013785563506399,udm44255
1.013822429607813,p1ulv13417
1.01386200990809,p1ulv43939
1.0139050881040486,p1ulv18582
1.0139133978911823,udm10775
1.0139376886678941,p1ulv39360
1.0139601259449837,p1ulv43875
1.0139736544919882,p1ulv30109
1.013977420659392,p1ulv31690
1.0139881940950515,udm10826
1.0140035463360482,udm10774
1.01401675275088,p1ulv33855
1.0140424797788556,p1ulv35862
1.0140661323632383,p1ulv42354
1.0140798839597167,p1ulv24045
1.0141347658250157,p1ulv33203
1.014150515086898,p1ulv5936
1.0141623599429161,p1ulv25135
1.0141748454183208,udm44254
1.0141800248901056,p1ulv29871
1.0142042317384048,p1ulv33470
1.0142605937494495,p1ulv20296
1.0142671779662262,udm34282
1.0143102286901642,p1ulv25902
1.0143103841709533,p1ulv5937
1.0144070495664637,p1ulv5933
1.0144392973511578,p1ulv45888
1.0144762896906439,p1ulv30258
1.0144900682045472,udm41459
1.014549096176362,p1ulv26229
1.014556595463397,p1ulv16447
1.0146084547627112,p1ulv23106
1.0146086237368028,udm37149
1.0146425817044937,p1ulv34680
1.0146458412809973,p1ulv39554
1.0146621910766889,p1ulv26799
1.0146924871287162,udm42501
1.0146926869623136,p1ulv44072
1.0147653652045385,p1ulv33277
1.0147958392540914,udm10829
1.0148004486141518,p1ulv47206
1.014852280249817,udm10823
1.014861876745872,udm10828
1.0148631088186078,udm37154
1.0148726029258512,p1ulv44448
1.014875415577028,udm10824
1.0148967020741004,p1ulv34603
1.0148987260630653,udm10832
1.0149019188586785,p1ulv47287
1.0149509371583012,udm10833
1.0149541672102118,udm23260
1.0149691041022533,p1ulv17356
1.0149700183377077,p1ulv18486
1.014994028365467,udm10769
1.0150184350032903,udm10827
1.0150189603436117,p1ulv41148
1.015047160384798,p1ulv15542
1.0150551334049063,udm44253
1.0150565353601282,p1ulv44250
1.0150633923514316,p1ulv25983
1.0150657851287341,udm42502
1.0150741800449783,udt10981lv
1.0151220442704676,p1ulv30948
1.0151319534742802,p1ulv42413
1.0151401864532676,udm26147
1.0151623632318958,udm36803
1.0151877237573501,udm23822
1.0152368557119638,p1ulv24769
1.015241831492764,udm39991
1.0152816565412426,udt2724lv
1.0153128278087982,udm10816
1.0153557108307174,p1ulv23589
1.0153970644675465,p1ulv33048
1.015423028554986,udm23173
1.0154444419934079,p1ulv23495
1.0155718218060195,udm44169
1.0155836234722002,udm42500
1.0155972092544627,udm10800
1.015608524768647,udm10767
1.0156129063381913,udm23171
1.015629529041619,p1ulv47076
1.0156369968651202,udt12444lv
1.0156786128684616,p1ulv46095
1.015680191697438,p1ulv43936
1.015705345268372,p1ulv48755
1.015709741729867,p1ulv13753
1.0157290021395915,p1ulv29047
1.0157475402865426,p1ulv38707
1.0157871529682905,p1ulv26094
1.0157934794210308,udm40928
1.0158053286804964,udm20402
1.0158066481598018,p1ulv15382
1.0158235753616867,p1ulv23894
1.0158253686793426,udt2723lv
1.0158267909639114,udm46412
1.015841444792521,udm41454
1.0158509047948088,p1ulv45706
1.0158613830530112,p1ulv10554
1.0158849990082628,p1ulv50770
1.0158884774488188,udm36802
1.0158966583240954,p1ulv36360
1.0159023199622732,p1ulv15503
1.0159097249498095,udm46414
1.015947898853766,p1ulv27886
1.01595187492414,udm45733
1.0159519364140102,udm44168
1.0159655080532999,udm41458
1.0159879865754031,p1ulv36517
1.0159937531872125,p1ulv34028
1.015997234738917,p1ulv25132
1.0160040875094771,udm10778
1.0160049206755988,udt10269lv
1.0160445445685735,udt13785lv
1.0160740259788188,p1ulv21643
1.0160866886090676,p1ulv25686
1.0160944362375788,udt12897lv
1.0160984618555253,p1ulv24658
1.0161023110136966,udm37655
1.0161309247422747,p1ulv23890
1.0161421485314683,p1ulv47684
1.01614525924239,p1ulv24954
1.0161643859623375,p1ulv22231
1.016170371838597,p1ulv24859
1.0162028806714891,p1ulv39041
1.016240248776091,p1ulv25939
1.0162465223221613,p1ulv13714
1.0162642320393593,p1ulv5924
1.0162725483032622,p1ulv5956
1.0162909460251934,p1ulv17512
1.016342412123124,p1ulv28614
1.0163613066403978,p1ulv23676
1.016361778033944,udm36804
1.016393499786349,p1ulv21533
1.0163970618891325,udt11890lv
1.0163976419977154,p1ulv40829
1.0164028308536628,p1ulv46227
1.0164028656218806,p1ulv35970
1.016406262378409,udm20414
1.016441920679267,p1ulv33175
1.0164488789089208,p1ulv18839
1.0164599586922631,udm30085
1.0164763026115895,p1ulv36662
1.0164890838445706,p1ulv48820
1.016490616006374,p1ulv13840
1.016508573217614,udm40931
1.0165187426083053,p1ulv10551
1.0165188944584957,udt12255lv
1.0165298654952721,udm19189
1.0165512083728943,udm24281
1.0165533879117161,udm40930
1.0165724002070415,p1ulv32422
1.0165867728123112,p1ulv34902
1.0165926856859193,p1ulv14755
1.016611571159578,udm10817
1.0166239638463372,udm26593
1.0166316725193667,udm23172
1.016641563714376,p1ulv23742
