Loading (p.u.),Name,Bus1,Bus2
1.005958156111113,Line.l(r:udt15983-udt529),udt15983-udt529x.3,udt15983-udt529xx.3
1.0060558610470032,Line.padswitch(r:udt15983-udt529)u_75177,udt15983-udt529xx.3,udt529.3
1.0195053190880359,Line.l(r:udm2114-udm2115),udm2114.1.2,udm2115.1.2
1.0458918998366242,Line.l(r:udm28889-udt7885lv),udt7885lv.1.2,udm28889.1.2
1.058702961886033,Line.l(r:p1ulv56624-udt20279lv),udt20279lv.1.2,p1ulv56624.1.2
1.0622624306150392,Line.l(r:udm47664-udt15565lv),udt15565lv.1.2,udm47664.1.2
1.0710012871319945,Line.l(r:udm2118-udt529lv),udt529lv.1.2,udm2118.1.2
1.0744008674510575,Line.l(r:udm56199-udt18756lv),udt18756lv.1.2,udm56199.1.2
1.0809371516748232,Line.l(r:udm2171-udm2172),udm2172.1.2,udm2171.1.2
1.0905588958747525,Line.l(r:udm47664-udm47667),udm47664.1.2,udm47667.1.2
1.1113887739535637,Line.l(r:udm2118-udm2123),udm2118.1.2,udm2123.1.2
1.1391755230067098,Line.l(r:udm47665-udm47667),udm47667.1.2,udm47665.1.2
1.155434410066641,Line.l(r:udm52174-udt16983lv),udt16983lv.1.2,udm52174.1.2
1.1554345107878383,Line.l(r:p1ulv52315-udm52174),udm52174.1.2,p1ulv52315.1.2
1.2598878675011367,Line.l(r:udm2173-udm2177),udm2177.1.2,udm2173.1.2
1.2634812480710091,Line.l(r:udm57165-udt19221lv),udt19221lv.1.2,udm57165.1.2
1.271540730868954,Line.l(r:udm57628-udt19407lv),udt19407lv.1.2,udm57628.1.2
1.2935575171438856,Line.l(r:udm57166-udt19221lv),udt19221lv.1.2,udm57166.1.2
1.2968724264599674,Line.fuse(r:udt15983-udt19182)u_84992,udt19182.3,udt15983-udt19182x.3
1.2968724491276757,Line.l(r:udt15983-udt19182),udt15983-udt19182x.3,udt15983.3
1.404712802915966,Line.l(r:p1ulv59760-udt20716lv),udt20716lv.1.2,p1ulv59760.1.2
1.405514131611752,Line.l(r:p1ulv56406-udm56267),udm56267.1.2,p1ulv56406.1.2
1.4160342403622488,Line.l(r:p1ulv45151-udt17637lv),udt17637lv.1.2,p1ulv45151.1.2
1.417234963403452,Line.l(r:udm2159-udt534lv),udt534lv.1.2,udm2159.1.2
1.4452696147604371,Line.l(r:udm48682-udt15828lv),udt15828lv.1.2,udm48682.1.2
1.4467381402558805,Line.l(r:udm2149-udm2154),udm2154.1.2,udm2149.1.2
1.4529537540605084,Line.l(r:udm57598-udt19397lv),udt19397lv.1.2,udm57598.1.2
1.474227756965021,Line.l(r:udm28889-udm28890),udm28889.1.2,udm28890.1.2
1.4742278836129596,Line.l(r:p1ulv58183-udm28890),udm28890.1.2,p1ulv58183.1.2
1.4755807411514767,Line.l(r:udm2173-udm2174),udm2173.1.2,udm2174.1.2
1.489070835076092,Line.l(r:udm57599-udt19397lv),udt19397lv.1.2,udm57599.1.2
1.489070957354573,Line.l(r:p1ulv56905-udm57599),udm57599.1.2,p1ulv56905.1.2
1.4954269216048346,Line.l(r:udm51953-udt16921lv),udt16921lv.1.2,udm51953.1.2
1.4954269603365744,Line.l(r:p1ulv43131-udm51953),udm51953.1.2,p1ulv43131.1.2
1.5006755251817905,Line.l(r:udm2158-udm2159),udm2159.1.2,udm2158.1.2
1.5030530735895917,Line.l(r:p1ulv55303-udm57165),udm57165.1.2,p1ulv55303.1.2
