OpenDSS Value (p.u.),Bus
1.0508700010240104,udm57678
1.0509478943618387,p1ulv59407
1.0517191072447296,p1ulv12628
1.0521307770260335,p1ulv46808
1.0521812939829294,p1ulv53764
1.0524440568606164,p1ulv60956
1.0525781284426936,udm56167
1.0529580281879145,udm49094
1.053308348982679,p1ulv60230
1.0542421499064802,p1ulv38665
1.0542808205018157,p1ulv51307
1.0546305378945202,p1ulv60891
1.054855431339304,p1ulv56338
1.0549518238631734,p1ulv57863
1.056040251718709,p1ulv52072
1.056645149269673,p1ulv44772
1.0569868483353821,p1ulv56708
1.0570324492520102,p1ulv42042
1.0578749135264813,p1ulv52485
1.0586735208481541,p1ulv48311
1.0588921684321513,udt20063lv
1.0589413441862172,p1ulv52734
1.0592171163154658,p1ulv57734
1.0594814349195854,p1ulv8033
1.05959137356711,p1ulv46526
1.0597708089859537,p1ulv58975
1.0599223547512586,udm57883
1.0599375259481802,udm21221
1.0601681210668357,p1ulv52715
1.0608307083232416,p1ulv43367
1.0614410619339856,udt18030lv
1.0615666847793233,p1ulv51152
1.0618650920082815,p1ulv50998
1.0634054818219718,udm50394
1.0638021813464746,p1ulv39635
1.064019755467001,p1ulv1142
1.0642309233973686,p1ulv55442
1.064490497835834,p1ulv52628
1.0649863805814281,udm2591
1.0651105881802914,p1ulv46608
1.0654202575703897,p1ulv48315
1.066022888248172,p1ulv47007
1.0670768790367742,p1ulv49587
1.0674305665584998,udm39179
1.0677358855593921,p1ulv1143
1.0677814689426457,p1ulv48676
1.0680779258777808,p1ulv55715
1.0683896056810969,p1ulv40417
1.0689455586402057,p1ulv56511
1.069418145178088,p1ulv54197
1.0695749157635055,p1ulv8971
1.0699779670585292,p1ulv52026
1.070181886813026,p1ulv56725
1.0709267034996406,p1ulv54215
1.0709820881374275,p1ulv59784
1.072522634474181,p1ulv60499
1.0728821675904143,udm53774
1.0750099030117584,p1ulv1572
1.0758309802900954,p1ulv55110
1.0758675203509154,p1ulv58274
1.077006437161134,p1ulv19243
1.077427313524313,p1ulv53271
1.0780187436050908,udt3677lv
1.0798766725282032,p1ulv48352
1.080452543149109,p1ulv8022
1.0838193166255292,p1ulv41650
1.0860802413877102,p1ulv27230
1.0866265180648413,p1ulv57681
1.0886353725711444,p1ulv1146
1.0922792837454725,p1ulv39788
1.098831536627679,p1ulv40485
1.1005320927099502,p1ulv53641
1.1031588182360363,p1ulv12638
1.1180404209755646,p1ulv1144
1.1339332809779796,udm53772
1.1457662374637307,p1ulv45031
