OpenDSS Value (p.u.),Bus
1.0505408738743622,udm57882
1.0506809452021044,p1ulv58236
1.050968730350504,p1ulv55006
1.0513950018456566,udt19236lv
1.0513973941807646,p1ulv60310
1.051431378659356,udt19532lv
1.0515162394958752,p1ulv49891
1.051531909568752,p1ulv12641
1.0517180209098036,p1ulv49774
1.0517441417096764,p1ulv58253
1.0522423163783727,udm21220
1.0523871422569397,udm57677
1.052424667464079,p1ulv61095
1.0524396890049124,p1ulv51939
1.053034630864277,udt20010lv
1.0534866022876426,udt19590lv
1.0538713051118875,udm57678
1.054965156818041,p1ulv59643
1.0564554619746052,p1ulv46808
1.0571708641470758,udm56167
1.0574283287341166,udm49094
1.057618069505301,p1ulv60230
1.0576562060102939,p1ulv12628
1.0577325417128645,p1ulv57863
1.0580621153290712,p1ulv53764
1.0591402888335886,p1ulv56338
1.0595992669017409,p1ulv52072
1.0599657616025389,p1ulv56708
1.0608150359721975,p1ulv44772
1.062324283269025,p1ulv52485
1.0630824900533336,p1ulv52734
1.063233616735498,p1ulv8033
1.0632601182134718,p1ulv57734
1.0637450332760225,p1ulv58975
1.0643615485905467,p1ulv48311
1.0645492989124063,p1ulv52715
1.0647347331655026,udt20063lv
1.0651300930937646,udt18030lv
1.0657819553117822,udm57883
1.0664340451254646,udm21221
1.066692121017728,p1ulv43367
1.0671295182827725,p1ulv52628
1.068764495664261,p1ulv46608
1.0691908306317788,udm50394
1.0696199454174464,p1ulv39635
1.0700347099212264,p1ulv47007
1.0700382326606113,p1ulv55442
1.0712717770404452,p1ulv49587
1.0715868218952398,p1ulv48676
1.0717114650103339,p1ulv40417
1.0722148056722416,p1ulv55715
1.0735509266144336,p1ulv56725
1.0739317367262597,p1ulv59784
1.0755734718168393,p1ulv8971
1.0777610002750493,p1ulv54215
1.0796461299845976,p1ulv58274
1.0797040812131216,udm53774
1.0816032047289172,p1ulv55110
1.0817505797246314,udt3677lv
1.083184795114759,p1ulv53271
1.0836413685633857,p1ulv48352
1.0841607723628592,p1ulv8022
1.0894983037116064,p1ulv41650
1.0923461872584148,p1ulv57681
1.0974697795214772,p1ulv39788
1.1099511012261076,p1ulv12638
1.1412013801016438,udm53772
1.1531202385542627,p1ulv45031
