OpenDSS Value (p.u.),Bus
0.9885788774887113,p1ulv15372
0.989918685176658,udm14085
0.9928703227361229,p1ulv25231
0.995037172071424,udm14088
0.9998817360042618,p1ulv34259
0.9999055720026572,p1ulv29300
0.9999998151078806,sb8_uhs17_1247_node_8_9
0.9999998151097113,sb8_uhs17_1247_node_8_3
0.9999999981693016,uhs17_69
1.0020457220979062,p1ulv20791
1.0020805137357969,p1ulv22133
1.0027525460487117,p1ulv14164
1.0031806654872373,p1ulv37253
1.0033944392254166,udm29170
1.0035782569270417,p1ulv20793
1.0037860279654103,p1ulv27547
1.0041892267870038,p1ulv16993
1.0042193660132481,p1ulv10390
1.004329285171449,p1ulv14287
1.0045035454979034,udm34258
1.0047657766603164,p1ulv32598
1.0048659757681562,p1ulv37319
1.004984700739679,p1ulv34012
1.0050386146327808,p1ulv15148
1.0051153975718936,udm18170
1.0051485854178606,p1ulv16906
1.0051903624518097,p1ulv18312
1.0052123537629076,p1ulv23526
1.0053539525784632,p1ulv7875
1.0053727752444526,udm23244
1.0053955036970812,p1ulv31104
1.005471785007603,p1ulv32545
1.0054941266638313,p1ulv7894
1.0055144340910385,p1ulv21702
1.0055763558922615,p1ulv20810
1.0056400535444958,p1ulv18423
1.0056933685563778,udm34343
1.005701147010113,p1ulv16779
1.0057263041452371,p1ulv25437
1.0058082867645555,p1ulv18441
1.0058410049913213,p1ulv7900
1.0058603393887044,p1ulv15307
1.0058697608241576,p1ulv24826
1.0059078497828913,p1ulv19921
1.0059905392588822,p1ulv20322
1.006159889908807,p1ulv7781
1.006180633040932,udm14041
1.006265161478234,p1ulv18782
1.006285433731819,udm25046
1.0063336548145427,p1ulv11134
1.0063414915240894,udm13994
1.0063471895083356,p1ulv20792
1.0063737009626863,p1ulv14277
1.006487711959073,p1ulv18119
1.0065746765789032,p1ulv25765
1.0066109334079714,udm14045
1.0067023337314314,p1ulv23616
1.006716369219979,p1ulv20532
1.0067240063284177,p1ulv7902
1.0067480264710085,p1ulv21519
1.0067492567276177,p1ulv25763
1.0068334700697883,udm31860
1.00683461845008,p1ulv7847
1.0068653490026618,p1ulv13410
1.0069124498389517,udm14055
1.0069948076424158,p1ulv23476
1.007020633178811,p1ulv23804
1.0070244506543173,p1ulv19939
1.0070253348747664,udm24546
1.0070614494902368,p1ulv25493
1.0070891097661883,p1ulv20407
1.0070926542306227,p1ulv35781
1.0070959609421117,p1ulv16885
1.007105698698061,p1ulv25536
1.0071102640655127,udm29553
1.0071270200097402,p1ulv7891
1.0071313484996778,p1ulv31048
1.0071484420885355,p1ulv18502
1.0071737752901961,p1ulv15323
1.007181108481725,p1ulv20684
1.0071860210999768,p1ulv20797
1.0072337516467798,p1ulv32455
1.0072347508218877,p1ulv14185
1.0072381478696686,udm23242
1.0073029923305332,p1ulv14743
1.0073050734588422,p1ulv20550
1.0073512223688779,udm11540
1.0073689590839057,p1ulv29151
1.007390998327302,p1ulv14190
1.0074091242804473,udm24357
1.0074214262381926,p1ulv13067
1.0074818612254572,udm25048
1.0074996157490488,udm3639
1.0075033833298082,p1ulv19085
1.0075575452747803,p1ulv31004
1.0076096965485437,p1ulv7877
1.007630620305265,p1ulv7872
1.0076437043569615,p1ulv15579
1.0076563099066087,p1ulv22226
1.0076806697376064,udm12337
1.0076848044285995,p1ulv17441
1.0077203941196804,udm22290
1.0077426423429037,udm25090
1.0077452432376846,p1ulv7889
1.0077544604382287,p1ulv18208
1.007756122641537,p1ulv14212
1.0077688092430916,p1ulv7880
1.0077869168476186,udm24050
1.0077918523402782,p1ulv13875
1.0078067917688704,udm31893
1.007817577986193,p1ulv18253
1.007818086911529,udm23247
1.00782071406787,p1ulv32663
1.007825296183066,p1ulv19898
1.0078297321977439,udm23246
1.0078436197252572,p1ulv25628
1.0078478805891766,p1ulv24856
1.007868985079644,udm4054
1.0078697668561922,p1ulv22123
1.0078705117123836,p1ulv20774
1.0078727674261851,p1ulv32695
1.007887808325735,p1ulv17500
1.0079417326577778,p1ulv25839
1.0080057964303304,udm14087
1.0080760024211508,p1ulv20324
1.0080915899272012,p1ulv14178
1.0081036096142104,p1ulv27597
1.0081160364293127,p1ulv24970
1.0081196939933728,p1ulv19066
1.0081243520216603,p1ulv13541
1.0081269109456947,p1ulv23993
1.0081311965265214,p1ulv14204
1.008169924070402,udm14083
1.008178514428627,p1ulv37383
1.0081881003053268,p1ulv14257
1.008201251957773,udm25094
1.008249473947144,p1ulv18656
1.0082812265901446,p1ulv18784
1.0082892295194075,p1ulv17430
1.0082903538039343,p1ulv14183
1.0083044444233922,p1ulv21653
1.008313047421319,udm30110
1.0083240942088152,p1ulv14210
1.0083368285823702,p1ulv19022
1.008343483802796,p1ulv18739
1.0083679375376384,udm24545
1.0083711024992221,p1ulv24786
1.0083824964932218,p1ulv14192
1.0083874528952244,udm14052
1.0083874662760097,p1ulv22330
1.008396592100829,udm25157
1.008424442542214,p1ulv14203
1.0084264859492156,p1ulv20642
1.008434056653852,udm25075
1.0084369691088915,p1ulv22040
1.008450481876718,udm23476
1.0084506285384667,p1ulv20686
1.008455296028171,p1ulv18869
1.008459865394575,p1ulv14168
1.0084694918655002,p1ulv13315
1.00848028996102,p1ulv23117
1.0084988691019263,p1ulv17497
1.0085581200252132,p1ulv7841
1.0085594844824293,udm29928
1.0085639947047025,p1ulv23825
1.0085693017724537,p1ulv10379
1.0085760629873186,udm34344
1.0085890296442106,udm4055
1.0085903175410564,p1ulv15578
1.0086051562063212,udm25089
1.008614494943271,udm26013
1.0086171040653835,p1ulv18740
1.0086378271982337,p1ulv21473
1.008643024203557,p1ulv37294
1.0086602267936593,p1ulv29169
1.0086636896442207,udm22982
1.0086699638023346,p1ulv31005
1.0086802094272254,p1ulv18702
1.008681238564252,udm25133
1.0086826466878538,p1ulv20795
1.0086925818110695,p1ulv1656
1.008693352199031,p1ulv17225
1.0087010317409857,udm19083
1.0087112658346586,p1ulv15574
1.008725993436329,udm25106
1.0087268146354489,p1ulv14705
1.0087301366794201,p1ulv25271
1.0087549486364842,udm33243
1.0087610558719144,udm14042
1.0088220492354125,p1ulv22244
1.0088226550317503,p1ulv7883
1.0088404190901081,p1ulv12274
1.008869766980358,udt6188lv
1.0088717332911679,p1ulv14112
1.0088932621381381,udm31859
1.0088972898426576,p1ulv18560
1.0088974638015094,p1ulv32690
1.0089060324453167,p1ulv20794
1.008931035301502,p1ulv15821
1.0089578196017355,udm25159
1.008959085576637,udm13922
1.0089682185717352,p1ulv14271
1.0089683668353686,udm25130
1.0089705499745587,p1ulv14087
1.0089814465213478,p1ulv34369
1.008995440392654,p1ulv35723
1.0089997283854324,p1ulv25580
1.0090084989210855,p1ulv23267
1.009012553949254,p1ulv22279
1.0090271296483726,udm25166
1.0090308880197754,p1ulv32600
1.0090314168837067,udm23477
1.0090603302580008,udm25143
1.0090631776456194,p1ulv34190
1.0090750021031236,udm19078
1.0090951011515243,p1ulv14176
1.0090968726434721,p1ulv19084
1.009099252236803,p1ulv25074
1.0091293278663516,udt6717lv
1.0091383479143432,p1ulv30778
1.009142198106082,udm14067
1.009142571782045,udm22983
1.0091468395963272,p1ulv1832
1.009163863293039,p1ulv20789
1.0091844893663748,p1ulv14232
1.0091942104941045,udt6728lv
1.0091947164960362,udm14086
1.0092297430705386,p1ulv31076
1.0092321540516913,p1ulv7888
1.0092430772304288,p1ulv24036
1.0092490317643377,udm32754
1.0093203579882455,udm14018
1.0093208282589883,p1ulv21808
1.0093233526166367,udt9797lv
1.009335169672839,p1ulv29085
1.009353048725063,p1ulv18543
1.009366670658627,p1ulv22154
1.0094404286587173,p1ulv16046
1.0094512761082775,p1ulv7892
1.0094611472063104,p1ulv14218
1.0094908783625332,p1ulv13574
1.0094953262746413,udm14062
1.0095004525450708,udm29927
1.0095393401777084,p1ulv11128
