Loading (p.u.),Name,Bus1,Bus2
1.0475528018868658,Line.l(r:p1ulv49825-udt18809lv),udt18809lv.1.2,p1ulv49825.1.2
1.048235794307126,Line.l(r:p1ulv53892-udt19748lv),udt19748lv.1.2,p1ulv53892.1.2
1.0494545400226478,Line.l(r:p1ulv51477-udt19143lv),udt19143lv.1.2,p1ulv51477.1.2
1.0611792703344318,Line.l(r:udm51427-udt16659lv),udt16659lv.1.2,udm51427.1.2
1.0612962289565904,Line.l(r:p1ulv58239-udt20516lv),udt20516lv.1.2,p1ulv58239.1.2
1.0751065319719153,Line.l(r:udm50526-udt16411lv),udt16411lv.1.2,udm50526.1.2
1.1108885043670536,Line.l(r:udm16964-udt4476lv),udt4476lv.1.2,udm16964.1.2
1.1108885408984708,Line.l(r:p1ulv9623-udm16964),udm16964.1.2,p1ulv9623.1.2
1.162223355188815,Line.l(r:p1ulv785-udt372lv),udt372lv.1.2,p1ulv785.1.2
1.1662133950071272,Line.l(r:p1ulv59923-udt20740lv),udt20740lv.1.2,p1ulv59923.1.2
1.2079791516124976,Line.l(r:udm886-udt238lv),udt238lv.1.2,udm886.1.2
1.2655377440269635,Line.l(r:p1ulv51955-udt19237lv),udt19237lv.1.2,p1ulv51955.1.2
1.2832997769888392,Line.l(r:udm903-udm904),udm903.1.2,udm904.1.2
1.283299817031138,Line.l(r:p1ulv56710-udm904),udm904.1.2,p1ulv56710.1.2
1.3202843556872483,Line.l(r:p1ulv60576-udt18875lv),udt18875lv.1.2,p1ulv60576.1.2
1.3225536402284428,Line.l(r:udm50522-udt16411lv),udt16411lv.1.2,udm50522.1.2
1.3596424597471382,Line.l(r:p1ulv46278-udt17904lv),udt17904lv.1.2,p1ulv46278.1.2
1.4027026925427488,Line.l(r:p1ulv57453-udt20406lv),udt20406lv.1.2,p1ulv57453.1.2
1.4292686465929914,Line.l(r:p1ulv3753-udt1770lv),udt1770lv.1.2,p1ulv3753.1.2
1.461118243941536,Line.l(r:p1ulv57011-udt20346lv),udt20346lv.1.2,p1ulv57011.1.2
1.4687242367098823,Line.l(r:udm8966-udt2241lv),udt2241lv.1.2,udm8966.1.2
1.4687243263341017,Line.l(r:p1ulv4894-udm8966),udm8966.1.2,p1ulv4894.1.2
1.4810247279856545,Line.l(r:p1ulv43751-udm17713),udm17713.1.2,p1ulv43751.1.2
1.4829739951712215,Line.l(r:p1ulv3757-udt1775lv),udt1775lv.1.2,p1ulv3757.1.2
1.4858748034210922,Line.l(r:p1ulv3738-udt1770lv),udt1770lv.1.2,p1ulv3738.1.2
1.4920728222587045,Line.l(r:udm53748-udt17579lv),udt17579lv.1.2,udm53748.1.2
1.492072865551144,Line.l(r:p1ulv45334-udm53748),udm53748.1.2,p1ulv45334.1.2
1.4950386736495938,Line.l(r:p1ulv3741-udt1771lv),udt1771lv.1.2,p1ulv3741.1.2
1.499253104348848,Line.l(r:p1ulv3743-udm886),udm886.1.2,p1ulv3743.1.2
1.5051067935075955,Line.l(r:udm36001-udt10513lv),udt10513lv.1.2,udm36001.1.2
1.5051068939788623,Line.l(r:p1ulv24343-udm36001),udm36001.1.2,p1ulv24343.1.2
1.505163113257218,Line.l(r:p1ulv46899-udt4419lv),udt4419lv.1.2,p1ulv46899.1.2
1.5091817488364685,Line.l(r:udm8994-udt2252lv),udt2252lv.1.2,udm8994.1.2
1.5091819524277847,Line.l(r:p1ulv56153-udm8994),udm8994.1.2,p1ulv56153.1.2
1.5100174316285306,Line.l(r:udm6999-udt1771lv),udt1771lv.1.2,udm6999.1.2
1.5100174364723513,Line.l(r:p1ulv3742-udm6999),udm6999.1.2,p1ulv3742.1.2
1.510649713243421,Line.l(r:p1ulv9492-udt4419lv),udt4419lv.1.2,p1ulv9492.1.2
1.5152426239056362,Line.l(r:p1ulv3739-udm6994),udm6994.1.2,p1ulv3739.1.2
1.5160607091861527,Line.l(r:udm17698-udm17699),udm17698.1.2,udm17699.1.2
1.5160607631126517,Line.l(r:p1ulv59575-udm17699),udm17699.1.2,p1ulv59575.1.2
1.5168899187050764,Line.l(r:p1ulv42152-udm51427),udm51427.1.2,p1ulv42152.1.2
1.5188670236625748,Line.l(r:p1ulv10067-udt4679lv),udt4679lv.1.2,p1ulv10067.1.2
1.5293966156071357,Line.l(r:p1ulv3744-udt238lv),udt238lv.1.2,p1ulv3744.1.2
1.5532886527004781,Line.l(r:p1ulv3750-udt232lv),udt232lv.1.2,p1ulv3750.1.2
1.5766455744950436,Line.l(r:udm50522-udm50523),udm50522.1.2,udm50523.1.2
1.5766456571390433,Line.l(r:p1ulv43425-udm50523),udm50523.1.2,p1ulv43425.1.2
1.5978577597925403,Line.l(r:p1ulv43700-udm8990),udm8990.1.2,p1ulv43700.1.2
1.6351160908962616,Line.l(r:p1ulv10072-udm17692),udm17692.1.2,p1ulv10072.1.2
1.640495887481023,Line.l(r:udm7004-udt1774lv),udt1774lv.1.2,udm7004.1.2
1.6404959303787394,Line.l(r:p1ulv3751-udm7004),udm7004.1.2,p1ulv3751.1.2
1.6693681674612868,Line.l(r:udm17714-udm17716),udm17714.1.2,udm17716.1.2
1.6693682124036524,Line.l(r:p1ulv48213-udm17716),udm17716.1.2,p1ulv48213.1.2
1.6912917681361035,Line.l(r:p1ulv3754-udm6994),udm6994.1.2,p1ulv3754.1.2
1.6932344516113407,Line.l(r:udm59216-udt20316lv),udt20316lv.1.2,udm59216.1.2
1.6932345460732796,Line.l(r:p1ulv56839-udm59216),udm59216.1.2,p1ulv56839.1.2
1.695955311025846,Line.l(r:p1ulv55606-udm17698),udm17698.1.2,p1ulv55606.1.2
1.7028318808693679,Line.l(r:udm50525-udm50526),udm50526.1.2,udm50525.1.2
1.7028320612601122,Line.l(r:p1ulv51734-udm50525),udm50525.1.2,p1ulv51734.1.2
1.7370977507862813,Line.l(r:p1ulv57730-udt18362lv),udt18362lv.1.2,p1ulv57730.1.2
1.7481982069922959,Line.l(r:p1ulv48576-udt18548lv),udt18548lv.1.2,p1ulv48576.1.2
1.7556752604518937,Line.l(r:p1ulv41400-udm17714),udm17714.1.2,p1ulv41400.1.2
1.7607741836352484,Line.l(r:p1ulv10074-udm17713),udm17713.1.2,p1ulv10074.1.2
1.765549419063125,Line.l(r:p1ulv47047-udt18183lv),udt18183lv.1.2,p1ulv47047.1.2
2.3247954699328806,Line.l(r:udm6994-udt1770lv),udt1770lv.1.2,udm6994.1.2
2.3325842428463104,Line.l(r:udm17714-udt4684lv),udt4684lv.1.2,udm17714.1.2
2.369411069850653,Line.l(r:p1ulv56610-udt20277lv),udt20277lv.1.2,p1ulv56610.1.2
2.3704486169941883,Line.l(r:p1ulv57889-udt20470lv),udt20470lv.1.2,p1ulv57889.1.2
2.4104680944938432,Line.l(r:udm58076-udt19626lv),udt19626lv.1.2,udm58076.1.2
2.410468273729083,Line.l(r:p1ulv59908-udm58076),udm58076.1.2,p1ulv59908.1.2
2.4112606503797704,Line.l(r:p1ulv48610-udt18558lv),udt18558lv.1.2,p1ulv48610.1.2
2.412492987817828,Line.l(r:p1ulv54144-udt19805lv),udt19805lv.1.2,p1ulv54144.1.2
2.4245564819659493,Line.l(r:udm16704-udt4410lv),udt4410lv.1.2,udm16704.1.2
2.424556642920819,Line.l(r:p1ulv56422-udm16704),udm16704.1.2,p1ulv56422.1.2
2.441225296636965,Line.l(r:udm7002-udt1773lv),udt1773lv.1.2,udm7002.1.2
2.441225443642128,Line.l(r:p1ulv3748-udm7002),udm7002.1.2,p1ulv3748.1.2
2.5297871205106146,Line.l(r:p1ulv53424-udt19626lv),udt19626lv.1.2,p1ulv53424.1.2
2.5491033272437074,Line.l(r:udm53602-udt17528lv),udt17528lv.1.2,udm53602.1.2
2.549103537885436,Line.l(r:p1ulv48492-udm53602),udm53602.1.2,p1ulv48492.1.2
2.5669593572091056,Line.l(r:p1ulv53635-udt19680lv),udt19680lv.1.2,p1ulv53635.1.2
2.616905852659079,Line.l(r:udm47614-udt15551lv),udt15551lv.1.2,udm47614.1.2
