Loading (p.u.),Name,Bus and Phases,kVA,Number of Phases
1.0047583075897557,Transformer.tr(r:udt14622-udt14622lv),udt14622.3,75.0,1
1.010605998181594,Transformer.tr(r:udt11081-udt11081lv),udt11081.3,75.0,1
1.0211683763102832,Transformer.tr(r:udt14746-udt14746lv),udt14746,75.0,3
1.055174610796455,Transformer.tr(r:udt11100-udt11100lv),udt11100.3,75.0,1
1.05564903249716,Transformer.tr(r:udt18197-udt18197lv),udt18197.2,75.0,1
1.1753192374684567,Transformer.tr(r:udt5230-udt5230lv),udt5230.1,50.0,1
1.2247414787964201,Transformer.tr(r:udt9562-udt9562lv),udt9562.3,50.0,1
1.2551759225141341,Transformer.tr(r:udt11952-udt11952lv),udt11952.3,50.0,1
1.2692110148640834,Transformer.tr(r:udt9565-udt9565lv),udt9565.2,50.0,1
1.2725428554554896,Transformer.tr(r:udt5641-udt5641lv),udt5641.1,50.0,1
1.285602298479914,Transformer.tr(r:udt15070-udt15070lv),udt15070.2,50.0,1
1.3134821882520027,Transformer.tr(r:udt13748-udt13748lv),udt13748.3,50.0,1
1.314042734373186,Transformer.tr(r:udt2483-udt2483lv),udt2483.1,50.0,1
1.3204660771592085,Transformer.tr(r:udt16142-udt16142lv),udt16142.1,50.0,1
1.3209381489784653,Transformer.tr(r:udt2512-udt2512lv),udt2512.3,50.0,1
1.32175668855902,Transformer.tr(r:udt16747-udt16747lv),udt16747.2,50.0,1
1.3340159471959567,Transformer.tr(r:udt5220-udt5220lv),udt5220.1,50.0,1
1.3355521168293762,Transformer.tr(r:udt13962-udt13962lv),udt13962,150.0,3
1.3375676382597146,Transformer.tr(r:udt18289-udt18289lv),udt18289.2,50.0,1
1.3380041211497053,Transformer.tr(r:udt11860-udt11860lv),udt11860.3,50.0,1
1.3390170090343805,Transformer.tr(r:udt18640-udt18640lv),udt18640.1,50.0,1
1.339148220684747,Transformer.tr(r:udt3227-udt3227lv),udt3227.2,50.0,1
1.339270233882857,Transformer.tr(r:udt12856-udt12856lv),udt12856,150.0,3
1.345592780079061,Transformer.tr(r:udt2493-udt2493lv),udt2493.3,50.0,1
1.3464304601322088,Transformer.tr(r:udt13898-udt13898lv),udt13898.3,50.0,1
1.3514162292432288,Transformer.tr(r:udt3050-udt3050lv),udt3050.2,50.0,1
1.3529071513802309,Transformer.tr(r:udt12409-udt12409lv),udt12409.2,50.0,1
1.357587559102279,Transformer.tr(r:udt2487-udt2487lv),udt2487.1,50.0,1
1.3638756265305738,Transformer.tr(r:udt15205-udt15205lv),udt15205.1,50.0,1
1.3645259712475124,Transformer.tr(r:udt9561-udt9561lv),udt9561.2,50.0,1
1.3683599787546104,Transformer.tr(r:udt14110-udt14110lv),udt14110.1,50.0,1
1.3848068824798836,Transformer.tr(r:udt2496-udt2496lv),udt2496.1,50.0,1
1.4089008488970813,Transformer.tr(r:udt13182-udt13182lv),udt13182,150.0,3
1.41494074853131,Transformer.tr(r:udt10938-udt10938lv),udt10938,150.0,3
1.4187007671812688,Transformer.tr(r:udt5223-udt5223lv),udt5223.3,50.0,1
1.4344413439273775,Transformer.tr(r:udt12906-udt12906lv),udt12906.3,50.0,1
1.443629871328932,Transformer.tr(r:udt13913-udt13913lv),udt13913.1,50.0,1
1.4499675048541847,Transformer.tr(r:udt13333-udt13333lv),udt13333.1,50.0,1
1.4566858573935237,Transformer.tr(r:udt1446-udt1446lv),udt1446.2,50.0,1
1.4679822113372145,Transformer.tr(r:udt18263-udt18263lv),udt18263.1,50.0,1
1.502940442380135,Transformer.tr(r:udt16719-udt16719lv),udt16719.1,50.0,1
1.508910446868901,Transformer.tr(r:udt16060-udt16060lv),udt16060.2,50.0,1
1.5386387682050469,Transformer.tr(r:udt4629-udt4629lv),udt4629.1,50.0,1
1.5886707663175996,Transformer.tr(r:udt12636-udt12636lv),udt12636.1,50.0,1
1.598724652428746,Transformer.tr(r:udt12160-udt12160lv),udt12160.2,50.0,1
1.6000341102874858,Transformer.tr(r:udt14931-udt14931lv),udt14931.3,50.0,1
1.603114976221853,Transformer.tr(r:udt14841-udt14841lv),udt14841.2,50.0,1
1.6144207802363442,Transformer.tr(r:udt5215-udt5215lv),udt5215.1,50.0,1
1.6182490646004697,Transformer.tr(r:udt14231-udt14231lv),udt14231.3,50.0,1
1.6238635081534167,Transformer.tr(r:udt17879-udt17879lv),udt17879.1,50.0,1
1.627520494393706,Transformer.tr(r:udt11936-udt11936lv),udt11936,150.0,3
1.6850137051880933,Transformer.tr(r:udt17799-udt17799lv),udt17799.2,50.0,1
1.7009290962707182,Transformer.tr(r:udt15188-udt15188lv),udt15188.3,75.0,1
1.7640556928527107,Transformer.tr(r:udt9568-udt9568lv),udt9568.3,75.0,1
1.7753855955083935,Transformer.tr(r:udt9567-udt9567lv),udt9567.1,75.0,1
1.7826423465125083,Transformer.tr(r:udt4761-udt4761lv),udt4761.1,75.0,1
1.8444886494186994,Transformer.tr(r:udt9564-udt9564lv),udt9564.1,75.0,1
1.8704729988659319,Transformer.tr(r:udt13183-udt13183lv),udt13183,150.0,3
1.886539026038521,Transformer.tr(r:udt4763-udt4763lv),udt4763.1,75.0,1
1.8914098409335078,Transformer.tr(r:udt9559-udt9559lv),udt9559.2,75.0,1
1.9538180008265043,Transformer.tr(r:udt11064-udt11064lv),udt11064.1,75.0,1
1.9937794685368304,Transformer.tr(r:udt4764-udt4764lv),udt4764.2,75.0,1
2.1517780424530826,Transformer.tr(r:udt14928-udt14928lv),udt14928,100.0,3
2.2279388496787274,Transformer.tr(r:udt13351-udt13351lv),udt13351,100.0,3
2.324060857618825,Transformer.tr(r:udt16708-udt16708lv),udt16708,100.0,3
2.746196454854442,Transformer.tr(r:udt4533-udt4533lv),udt4533.3,25.0,1
2.7579662218110648,Transformer.tr(r:udt12142-udt12142lv),udt12142.1,50.0,1
2.8248961632232836,Transformer.tr(r:udt10854-udt10854lv),udt10854.1,25.0,1
2.8338178904166953,Transformer.tr(r:udt12570-udt12570lv),udt12570.3,25.0,1
2.8401334946459307,Transformer.tr(r:udt5227-udt5227lv),udt5227.2,25.0,1
2.841008928586754,Transformer.tr(r:udt18269-udt18269lv),udt18269.1,25.0,1
2.8453592765009073,Transformer.tr(r:udt5225-udt5225lv),udt5225.1,25.0,1
2.8536893048786722,Transformer.tr(r:udt9569-udt9569lv),udt9569.2,75.0,1
2.8706789331514666,Transformer.tr(r:udt12156-udt12156lv),udt12156.1,25.0,1
2.8806000126973976,Transformer.tr(r:udt14138-udt14138lv),udt14138,75.0,3
2.8909936518889308,Transformer.tr(r:udt12055-udt12055lv),udt12055.1,25.0,1
2.8980578512839643,Transformer.tr(r:udt4766-udt4766lv),udt4766.1,50.0,1
2.9045710355138974,Transformer.tr(r:udt16813-udt16813lv),udt16813.2,25.0,1
2.904682787397142,Transformer.tr(r:udt4635-udt4635lv),udt4635.3,25.0,1
2.9088719542164694,Transformer.tr(r:udt18986-udt18986lv),udt18986.3,25.0,1
2.9187400841904934,Transformer.tr(r:udt4767-udt4767lv),udt4767.2,50.0,1
2.930827128405977,Transformer.tr(r:udt5224-udt5224lv),udt5224.3,25.0,1
2.9315040367574463,Transformer.tr(r:udt4759-udt4759lv),udt4759.3,75.0,1
2.9477669925155165,Transformer.tr(r:udt4634-udt4634lv),udt4634.2,50.0,1
2.948773761434592,Transformer.tr(r:udt13845-udt13845lv),udt13845.3,25.0,1
2.9995504492047838,Transformer.tr(r:udt13367-udt13367lv),udt13367.1,25.0,1
3.0057854038296203,Transformer.tr(r:udt14572-udt14572lv),udt14572.3,25.0,1
3.0130611391982707,Transformer.tr(r:udt13503-udt13503lv),udt13503.2,25.0,1
3.031538465547285,Transformer.tr(r:udt13415-udt13415lv),udt13415.3,50.0,1
3.0509928336530945,Transformer.tr(r:udt12868-udt12868lv),udt12868.2,50.0,1
3.0515344263771156,Transformer.tr(r:udt12985-udt12985lv),udt12985.2,25.0,1
3.0583348782264,Transformer.tr(r:udt11854-udt11854lv),udt11854.2,50.0,1
3.0722161691378536,Transformer.tr(r:udt5218-udt5218lv),udt5218.3,25.0,1
3.074465105674254,Transformer.tr(r:udt9560-udt9560lv),udt9560.3,75.0,1
3.0748867412315515,Transformer.tr(r:udt14385-udt14385lv),udt14385.2,25.0,1
3.0827028211812677,Transformer.tr(r:udt13513-udt13513lv),udt13513.3,50.0,1
3.097346825103783,Transformer.tr(r:udt5642-udt5642lv),udt5642.1,75.0,1
3.099053076672869,Transformer.tr(r:udt12951-udt12951lv),udt12951.1,50.0,1
3.1245919986980852,Transformer.tr(r:udt14191-udt14191lv),udt14191.2,25.0,1
3.1479442822264887,Transformer.tr(r:udt12243-udt12243lv),udt12243.3,50.0,1
3.1484180688564294,Transformer.tr(r:udt14802-udt14802lv),udt14802,75.0,3
3.155590586002779,Transformer.tr(r:udt10945-udt10945lv),udt10945.2,25.0,1
3.1725236649558624,Transformer.tr(r:udt2544-udt2544lv),udt2544.3,50.0,1
3.1751412423652665,Transformer.tr(r:udt4537-udt4537lv),udt4537.3,25.0,1
3.1847887952713827,Transformer.tr(r:udt4628-udt4628lv),udt4628.2,50.0,1
3.2257019771351993,Transformer.tr(r:udt13690-udt13690lv),udt13690.3,50.0,1
3.2459507763939213,Transformer.tr(r:udt5221-udt5221lv),udt5221.1,25.0,1
3.284770734659138,Transformer.tr(r:udt14111-udt14111lv),udt14111.1,25.0,1
3.316860152383388,Transformer.tr(r:udt2489-udt2489lv),udt2489.1,50.0,1
3.3244477373000443,Transformer.tr(r:udt16697-udt16697lv),udt16697.3,25.0,1
3.381717315603674,Transformer.tr(r:udt10997-udt10997lv),udt10997.1,25.0,1
3.435098478209845,Transformer.tr(r:udt18943-udt18943lv),udt18943.3,25.0,1
3.485001507110956,Transformer.tr(r:udt13522-udt13522lv),udt13522.1,25.0,1
3.4914938430630427,Transformer.tr(r:udt2497-udt2497lv),udt2497.2,25.0,1
3.506296965516277,Transformer.tr(r:udt14673-udt14673lv),udt14673,75.0,3
3.5746968960043635,Transformer.tr(r:udt13770-udt13770lv),udt13770,75.0,3
3.603853156851434,Transformer.tr(r:udt4630-udt4630lv),udt4630.2,25.0,1
4.02912206040177,Transformer.tr(r:udt10992-udt10992lv),udt10992.1,75.0,1
4.065668736310585,Transformer.tr(r:udt11357-udt11357lv),udt11357.1,75.0,1
5.159290243727025,Transformer.tr(r:udt2502-udt2502lv),udt2502.1,50.0,1
5.183861249135858,Transformer.tr(r:udt5229-udt5229lv),udt5229.1,75.0,1
5.889031314225332,Transformer.tr(r:udt16682-udt16682lv),udt16682.3,25.0,1
5.973197712281253,Transformer.tr(r:udt4638-udt4638lv),udt4638.2,25.0,1
6.256226301129996,Transformer.tr(r:udt5639-udt5639lv),udt5639.1,75.0,1
6.414455469811435,Transformer.tr(r:udt3052-udt3052lv),udt3052.2,25.0,1
6.523317866970835,Transformer.tr(r:udt2499-udt2499lv),udt2499.1,25.0,1
6.539379413699551,Transformer.tr(r:udt12554-udt12554lv),udt12554.1,25.0,1
6.832292104761242,Transformer.tr(r:udt11614-udt11614lv),udt11614.1,25.0,1
7.013646298787769,Transformer.tr(r:udt3051-udt3051lv),udt3051.1,25.0,1
7.371305947003681,Transformer.tr(r:udt5643-udt5643lv),udt5643.1,50.0,1
