year,month,day,hour,temperature,GHI
2020,1,1,1,-4.7,0
2020,1,1,2,-5,0
2020,1,1,3,-5.3,0
2020,1,1,4,-5.5,0
2020,1,1,5,-5.6,0
2020,1,1,6,-5.7,0
2020,1,1,7,-5.7,18
2020,1,1,8,-5.6,124
2020,1,1,9,-5.5,145
2020,1,1,10,-5.3,209
2020,1,1,11,-5.2,134
2020,1,1,12,-5.2,77
2020,1,1,13,-5.3,141
2020,1,1,14,-4.2,60
2020,1,1,15,-3.4,3
2020,1,1,16,-2.8,0
2020,1,1,17,-2.3,0
2020,1,1,18,-1.9,0
2020,1,1,19,-1.8,0
2020,1,1,20,-2.3,0
2020,1,1,21,-3.1,0
2020,1,1,22,-3.5,0
2020,1,1,23,-3.6,0
2020,1,1,24,-3.3,0
2020,1,2,1,-3.2,0
2020,1,2,2,-3,0
2020,1,2,3,-2.8,0
2020,1,2,4,-2.7,0
2020,1,2,5,-2.8,0
2020,1,2,6,-3,0
2020,1,2,7,-3.7,21
2020,1,2,8,-4.6,84
2020,1,2,9,-5.3,100
2020,1,2,10,-6.1,91
2020,1,2,11,-7.1,127
2020,1,2,12,-8.1,156
2020,1,2,13,-7.9,112
2020,1,2,14,-6.1,38
2020,1,2,15,-4.4,2
2020,1,2,16,-3.2,0
2020,1,2,17,-2.4,0
2020,1,2,18,-1.9,0
2020,1,2,19,-1.8,0
2020,1,2,20,-2.4,0
2020,1,2,21,-3.3,0
2020,1,2,22,-3.3,0
2020,1,2,23,-2.9,0
2020,1,2,24,-2.4,0
2020,1,3,1,-2,0
2020,1,3,2,-1.9,0
2020,1,3,3,-1.9,0
2020,1,3,4,-1.8,0
2020,1,3,5,-1.4,0
2020,1,3,6,-0.8,0
2020,1,3,7,-0.3,11
2020,1,3,8,0,96
2020,1,3,9,0.5,48
2020,1,3,10,0.4,38
2020,1,3,11,0.3,32
2020,1,3,12,0,16
2020,1,3,13,0.2,33
2020,1,3,14,1,19
2020,1,3,15,1.4,2
2020,1,3,16,1.6,0
2020,1,3,17,1.9,0
2020,1,3,18,2,0
2020,1,3,19,2,0
2020,1,3,20,1.8,0
2020,1,3,21,1.6,0
2020,1,3,22,1.7,0
2020,1,3,23,1.7,0
2020,1,3,24,1.5,0
2020,1,4,1,1.2,0
2020,1,4,2,1,0
2020,1,4,3,0.5,0
2020,1,4,4,-0.1,0
2020,1,4,5,-0.9,0
2020,1,4,6,-1.7,0
2020,1,4,7,-2.4,25
2020,1,4,8,-3.2,99
2020,1,4,9,-4,101
2020,1,4,10,-4.8,124
2020,1,4,11,-5.5,79
2020,1,4,12,-5.9,63
2020,1,4,13,-5,55
2020,1,4,14,-3.3,34
2020,1,4,15,-2,4
2020,1,4,16,-1.2,0
2020,1,4,17,-0.9,0
2020,1,4,18,-1,0
2020,1,4,19,-1.3,0
2020,1,4,20,-2.4,0
2020,1,4,21,-3.7,0
2020,1,4,22,-4.3,0
2020,1,4,23,-4.4,0
2020,1,4,24,-4.5,0
2020,1,5,1,-4.6,0
2020,1,5,2,-4.8,0
2020,1,5,3,-5.1,0
2020,1,5,4,-5.5,0
2020,1,5,5,-5.7,0
2020,1,5,6,-6,0
2020,1,5,7,-6.3,19
2020,1,5,8,-6.6,144
2020,1,5,9,-6.8,122
2020,1,5,10,-7,134
2020,1,5,11,-7.2,159
2020,1,5,12,-7.5,142
2020,1,5,13,-7.3,212
2020,1,5,14,-6.5,121
2020,1,5,15,-5.6,12
2020,1,5,16,-5,0
2020,1,5,17,-4.5,0
2020,1,5,18,-4.4,0
2020,1,5,19,-4.9,0
2020,1,5,20,-6.7,0
2020,1,5,21,-9.1,0
2020,1,5,22,-10.7,0
