Time,LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],LIVING_UNIT1:INTERNATIONAL FALLS INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
01:00:00,8.507795E+03,1.693950E+03,2.978402E-01,1.661331E-01
02:00:00,8.580584E+03,1.234704E+03,3.003872E-01,1.211000E-01
03:00:00,8.618823E+03,9.284473E+02,3.017253E-01,9.106340E-02
04:00:00,8.642532E+03,7.033634E+02,3.025552E-01,6.898721E-02
05:00:00,8.638557E+03,6.863186E+02,3.024160E-01,6.731493E-02
06:00:00,8.581052E+03,1.176694E+03,3.004033E-01,1.154233E-01
07:00:00,8.512598E+03,1.756920E+03,2.980077E-01,1.723344E-01
08:00:00,8.494238E+03,2.222891E+03,2.973658E-01,2.180206E-01
09:00:00,8.644555E+03,2.512603E+03,3.026287E-01,2.464282E-01
10:00:00,8.728780E+03,2.776894E+03,3.055754E-01,2.723427E-01
11:00:00,8.744471E+03,2.937933E+03,3.061209E-01,2.881380E-01
12:00:00,8.751775E+03,2.979876E+03,3.063734E-01,2.922544E-01
13:00:00,8.757308E+03,3.169340E+03,3.065656E-01,3.108423E-01
14:00:00,8.758142E+03,3.528970E+03,3.065947E-01,3.461248E-01
15:00:00,8.755603E+03,3.839463E+03,3.065063E-01,3.765804E-01
16:00:00,8.728357E+03,3.999540E+03,3.055525E-01,3.922808E-01
17:00:00,8.614830E+03,4.075749E+03,3.015784E-01,3.997387E-01
18:00:00,8.410550E+03,1.721197E+03,2.944287E-01,1.421061E-01
19:00:00,8.205511E+03,2.152901E+03,2.872547E-01,1.760733E-01
20:00:00,8.139209E+03,2.031956E+03,2.849397E-01,1.660715E-01
21:00:00,8.110702E+03,1.832501E+03,2.839457E-01,1.497721E-01
22:00:00,8.125304E+03,1.630572E+03,2.844568E-01,1.332698E-01
23:00:00,8.246480E+03,3.453142E+03,2.886965E-01,3.198007E-01
24:00:00,8.384458E+03,2.582995E+03,2.935242E-01,2.528697E-01
Peak,8.758142E+03,4.075749E+03,3.065947E-01,3.997387E-01

Peak Vol Flow (m3/s),,,2.573582E-01,3.355440E-01
