Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Electricity:Facility [J](Hourly) 
 01/12  01:00:00,18188575.396063745,2423710.5078269197,83652.61855354601,29359.64616420171,262245.8146182114,9989.88619413263,0.0,14779793.51171678,0.0,18188575.396063745 
 01/12  02:00:00,21387676.515073244,2204854.2592976703,83652.61855354601,13044.48122735215,256573.49569035263,7989.769793380162,0.0,18078544.867500763,0.0,21387676.515073244 
 01/12  03:00:00,22050461.18488548,2130968.725359404,83652.61855354601,9773.797517854753,250967.13395932948,3989.536991875235,0.0,18789522.674440913,0.0,22050461.18488548 
 01/12  04:00:00,23772747.318570845,2076109.0398326167,83652.61855354601,6522.240613676075,243513.97071691064,3989.536991875235,0.0,20504688.064222645,0.0,23772747.318570845 
 01/12  05:00:00,24665729.39226997,2048824.1082944702,250957.855660638,6522.240613676075,239754.41049728324,7989.769793380162,0.0,21227967.24600574,0.0,24665729.39226997 
 01/12  06:00:00,24180818.63095078,2304415.351730611,522828.86595966254,19566.721841028222,239754.41049728324,11990.002594885089,0.0,20245341.39862225,0.0,24180818.63095078 
 01/12  07:00:00,29080019.037388247,2820625.958515412,585568.329874822,39152.570487375255,249120.3324479338,23980.005189770178,0.0,22948520.477355942,0.0,29080019.037388247 
 01/12  08:00:00,30092761.498597726,3274713.361693889,522828.86595966254,58738.41913372186,262245.8146182114,51970.93899067497,0.0,23523744.575346686,0.0,30092761.498597726 
 01/12  09:00:00,25806038.7341525,3173562.0282091764,230044.7010222515,110973.72445908665,267852.1763492346,77961.75639082717,0.0,20617067.293546338,0.0,25806038.7341525 
 01/12  10:00:00,25886162.866961397,3108320.6491898345,156848.65978789877,124018.20568643884,271611.73656886193,91962.57119609449,0.0,20824639.79993591,0.0,25886162.866961397 
 01/12  11:00:00,27785552.210215714,3180213.4409684096,156848.65978789877,107703.04074958932,262245.8146182114,89962.45479534201,0.0,21769637.36146217,0.0,27785552.210215714 
 01/12  12:00:00,25580050.301236734,3226508.9837373705,156848.65978789877,91387.8758127398,262245.8146182114,79961.87279157966,0.0,20264383.816963643,0.0,25580050.301236734 
 01/12  13:00:00,22398394.705364045,3164107.7708933013,156848.65978789877,78324.26778006893,275305.33959165344,71961.40718856991,0.0,18206317.843506515,0.0,22398394.705364045 
 01/12  14:00:00,25424874.784917854,3097944.404917636,156848.65978789877,88117.19210324223,275305.33959165344,63971.63739518969,0.0,20396817.0271971,0.0,25424874.784917854 
 01/12  15:00:00,27297984.900125667,3092850.3958552633,156848.65978789877,71802.02716639295,271611.73656886193,55971.17179217984,0.0,21385101.70897832,0.0,27297984.900125667 
 01/12  16:00:00,24947610.366647325,3238555.609175064,271871.0102990245,68531.3434568954,275305.33959165344,51970.93899067497,0.0,19706604.633294377,0.0,24947610.366647325 
 01/12  17:00:00,24115744.623667605,3809769.245652374,585568.329874822,71802.02716639295,290343.58047016273,53971.055391427355,0.0,18818093.316314347,0.0,24115744.623667605 
 01/12  18:00:00,24622904.097238567,4691880.402825922,815613.0308970734,94639.43271691845,318441.34632211406,51970.93899067497,0.0,18031101.603030484,0.0,24622904.097238567 
 01/12  19:00:00,28794066.72816409,4790626.610950493,1097940.6185152913,166460.58668863008,327807.2682727643,51970.93899067497,0.0,20126838.31928965,0.0,28794066.72816409 
 01/12  20:00:00,29614192.766923897,4580943.455350675,1216765.360778851,212154.524595,318441.34632211406,51970.93899067497,0.0,20975070.71366978,0.0,29614192.766923897 
 01/12  21:00:00,25447044.709827404,4508531.550197068,1216765.360778851,172982.82730230608,309075.4243714635,51970.93899067497,0.0,18262933.93256341,0.0,25447044.709827404 
 01/12  22:00:00,25237617.465539493,4334308.999588086,920178.804089006,127288.88939593617,303403.1054436047,49970.82258992248,0.0,18914565.56522203,0.0,25237617.465539493 
 01/12  23:00:00,29892098.488675408,3677044.413770988,512372.28864046925,84846.50839374492,290343.58047016273,33980.58719353241,0.0,22837307.28522596,0.0,29892098.488675408 
 01/12  24:00:00,26709826.017514437,3037549.1348166782,209131.546383865,58738.41913372186,271611.73656886193,17990.35179714245,0.0,21636610.657315295,0.0,26709826.017514437 
