Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.00008662120864,34315375.27128133,2796420.9730918175,125478.927830319,29359.646160636934,262245.8146182114,9989.88619413263,0.0,30171829.160232775,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.9999174327346,36166260.486921035,2548022.4218731336,125478.927830319,13044.481225768317,256573.49569035263,7989.769793380162,0.0,32213308.100439534,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.999823648222446,36668010.36835162,2470158.126630023,125478.927830319,9773.797516668043,250967.13395932948,3989.536991875235,0.0,32776962.311368536,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999819716072103,38523261.30948061,2410523.9275373416,125478.927830319,6522.2406128841585,243513.97071691064,3989.536991875235,0.0,34639120.133189626,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.999781773971762,39646951.236552075,2370606.4288550545,376436.783490957,6522.2406128841585,239754.41049728324,7989.769793380162,0.0,35523191.41481903,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,21.999732886365138,39437209.69421933,2663498.559526247,784243.2989394937,19566.721838652476,239754.41049728324,11990.002594885089,0.0,34632217.60783534,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,21.99979212034731,44130403.58882455,3235511.293614676,878352.4948122329,39152.57048262144,249120.3324479338,23980.005189770178,0.0,37075486.32909427,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,21.99973813323721,45210143.5632222,3715560.114307474,784243.2989394937,58738.41912658998,262245.8146182114,51970.93899067497,0.0,37725745.172412954,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999636092090967,41574168.202773936,3546272.4934641644,345067.0515333772,110973.72444561248,267852.1763492346,77961.75639082717,0.0,35606519.86928666,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999728797327982,42160786.536017925,3425527.3942351257,235272.9896818481,124018.20567138083,271611.73656886193,91962.57119609449,0.0,36425420.932428986,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.99963936738982,44298128.81219745,3504880.3634630083,235272.9896818481,107703.04073651227,262245.8146182114,89962.45479534201,0.0,37601590.894493476,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.99969272488066,43203906.04416944,3551275.3752665804,235272.9896818481,91387.87580164369,262245.8146182114,79961.87279157966,0.0,36760889.56793166,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.000184996541677,39423994.68057279,3483403.3656293917,235272.9896818481,78324.26777055899,275305.33959165344,71961.40718856991,0.0,34514821.183596775,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.99946970821236,39784790.60403349,3428281.0622745813,235272.9896818481,88117.19209254326,275305.33959165344,63971.63739518969,0.0,34919286.89437711,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000242871290446,43738488.88217913,3441787.762316192,235272.9896818481,71802.02715767492,271611.73656886193,55971.17179217984,0.0,37138713.533656135,0.0 
