Date/Time,Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,38100727.71107565,87809894.38940834,27352700.548185937,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,127842.46852420052,0.0,0.0,5851976.339584516,0.0,74474266.37856092,0.0 
 01/12  02:00:00,36509797.21532726,98087347.87230736,25188735.308325555,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,76705.48111452046,0.0,0.0,4661436.341888673,0.0,89397636.2090646,0.0 
 01/12  03:00:00,36315682.434822224,102513084.73426998,24719704.00179709,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,51136.98740968035,0.0,0.0,3430522.5199065423,0.0,96497978.72711569,0.0 
 01/12  04:00:00,36154859.37969421,110841100.9235814,24230658.60467579,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,25568.493704840123,0.0,0.0,2885363.2943852283,0.0,105026551.36970623,0.0 
 01/12  05:00:00,37406985.85832497,118907906.45022263,23505448.378342796,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,51136.98740968035,0.0,0.0,4033008.4681529924,0.0,108887563.60699962,0.0 
 01/12  06:00:00,42775460.913842715,129893931.2509588,25978999.127304506,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,76705.48111452046,0.0,0.0,5429009.773218915,0.0,106913983.39202356,0.0 
 01/12  07:00:00,42789069.92232096,152530405.9197206,30028357.648489095,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,204547.94963872098,0.0,0.0,11071886.833631942,0.0,101847546.47296453,0.0 
 01/12  08:00:00,44843086.4354366,170529940.19984803,32706291.21586303,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,409095.89927744196,0.0,0.0,18816651.74731952,0.0,103491815.36465593,0.0 
 01/12  09:00:00,39031040.619196385,174158833.80424407,30183519.871527705,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,623845.4196367817,0.0,0.0,23540665.363830738,0.0,100929797.90425043,0.0 
 01/12  10:00:00,35805890.5115903,179173589.47221512,27646938.289928388,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,879530.356685183,0.0,0.0,28889710.767046157,0.0,103910557.66236159,0.0 
 01/12  11:00:00,35763204.38562278,170731253.85747373,27771352.927894708,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,1007372.8252093834,0.0,0.0,30430425.224975333,0.0,99701008.91318731,0.0 
 01/12  12:00:00,35387556.60745008,166324913.21965486,27425137.87962011,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,1048308.2418984461,0.0,0.0,32642950.0846883,0.0,98977436.20750777,0.0 
 01/12  13:00:00,34848794.233360365,160057556.89287797,26931862.371363785,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,956235.8377997031,0.0,0.0,32116125.78860367,0.0,97836668.53462271,0.0 
 01/12  14:00:00,35514024.59842527,155145380.77380687,27521152.320463695,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,869328.7859645649,0.0,0.0,28332548.93900536,0.0,99836206.25529566,0.0 
 01/12  15:00:00,35997406.89702916,148091078.26156858,28098420.546367235,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,782421.7341294265,0.0,0.0,26241082.17973883,0.0,97410823.42720409,0.0 
 01/12  16:00:00,38318761.12201118,148770076.78485623,29155972.865033984,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,741486.3174403644,0.0,0.0,27984173.243114583,0.0,97578816.53674385,0.0 
