Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,21.99999999927646,37941734.78214519,81336265.77456021,27352700.548185937,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,127842.46852420052,0.0,0.0,5851976.339584516,0.0,68000621.77442168,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,21.999999999991584,36367500.99115328,91555311.29104005,25188735.308325555,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,76705.48111452046,0.0,0.0,4661436.341888673,0.0,82865599.60898617,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.0,36181858.86098102,95974053.20350488,24719704.00179709,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,51136.98740968035,0.0,0.0,3430522.5199065423,0.0,89958947.18373483,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.0,36034030.983920276,104361105.17692232,24230658.60467579,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,25568.493704840123,0.0,0.0,2885363.2943852283,0.0,98546555.60781968,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.000000000000004,37296409.43028444,112572209.36409003,23505448.378342796,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,51136.98740968035,0.0,0.0,4033008.4681529924,0.0,102551866.48971961,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.0,42669839.79777024,123757575.21935368,25978999.127304506,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,76705.48111452046,0.0,0.0,5429009.773218915,0.0,100777627.26860887,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,21.999999999999996,42684059.1228435,146581074.7943016,30028357.648489095,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,204547.94963872098,0.0,0.0,11071886.833631942,0.0,95898215.18410994,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,21.999999999999996,44745172.7662038,164704213.95926464,32706291.21586303,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,409095.89927744196,0.0,0.0,18816651.74731952,0.0,97666089.0007245,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999895947205175,38937706.9568273,168556213.57995433,30183519.871527705,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,623845.4196367817,0.0,0.0,23540665.363830738,0.0,95327177.60757166,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,21.999996316954565,35715762.58806635,173546889.29771364,27646938.289928388,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,879530.356685183,0.0,0.0,28889710.767046157,0.0,98283857.44832432,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999999430532256,35666941.39775856,165077074.87518406,27771352.927894708,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,1007372.8252093834,0.0,0.0,30430425.224975333,0.0,94046829.90867557,0.0 
