Date/Time,Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,127146488.71818933,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,84804263.74817829,0.0 
 01/12  02:00:00,127628700.21950056,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,86904591.50367877,0.0 
 01/12  03:00:00,129184617.05546635,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,89077761.1776574,0.0 
 01/12  04:00:00,136087062.30931118,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,96287623.2822537,0.0 
 01/12  05:00:00,142092489.37890217,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,100359941.20776074,0.0 
 01/12  06:00:00,149284925.37823722,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,101877831.14512399,0.0 
 01/12  07:00:00,229641540.5118087,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,149230560.02620366,0.0 
 01/12  08:00:00,190581015.63099024,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,122519642.92994516,0.0 
 01/12  09:00:00,155337519.38884705,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,102899308.26715319,0.0 
 01/12  10:00:00,242600002.71209967,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,159896094.11751342,0.0 
 01/12  11:00:00,227455279.76189983,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,146768471.06024963,0.0 
 01/12  12:00:00,158180025.9035814,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,104231777.92740971,0.0 
 01/12  13:00:00,156975275.112049,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,103779199.34185264,0.0 
 01/12  14:00:00,235471148.64537534,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,153169366.46658412,0.0 
 01/12  15:00:00,185749687.72415438,36617461.96882949,1713680.159054812,1072331.7465090365,4889011.258239515,835823.6857929175,0.0,120371798.61654016,0.0 
 01/12  16:00:00,153257773.42814445,38225869.85629992,2970378.9423616747,1023485.5215082268,4955496.112649762,776087.7678707795,0.0,99303685.51935096,0.0 
 01/12  17:00:00,165092262.84619233,44795449.52530815,6397739.2604713,1072331.7465090365,5226184.44846293,805955.7268318479,0.0,101130542.39290667,0.0 
 01/12  18:00:00,248503638.58474034,55269617.26711448,8911136.827085022,1413398.3701989125,5731944.233798051,776087.7678707795,0.0,140880151.80318502,0.0 
 01/12  19:00:00,208406165.09784147,55399498.511634886,11995761.113383692,2486015.7671465483,5900530.828909755,776087.7678707795,0.0,106933003.62018877,0.0 
 01/12  20:00:00,169138682.2033754,51663709.24382042,13294003.658122186,3168434.664964901,5731944.233798051,776087.7678707795,0.0,87458279.56531064,0.0 
 01/12  21:00:00,169741841.55716333,49934365.634654075,13294003.658122186,2583422.566709569,5563357.63868634,776087.7678707795,0.0,89707766.71878387,0.0 
 01/12  22:00:00,249622774.58428434,47741914.334141746,10053590.266454902,1901003.6688912208,5461255.897984883,746219.8089097101,0.0,144147768.29984954,0.0 
 01/12  23:00:00,206169574.9301007,40294035.26445979,5598021.852912389,1267145.345635079,5226184.44846293,507435.85892682965,0.0,127816992.79304285,0.0 
 01/12  24:00:00,170563373.2686726,32708042.448952936,2284906.8787397505,877232.4969443938,4889011.258239515,268651.90894395043,0.0,117985351.72016001,0.0 
