Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1_FRONTROW_BOTTOMFLOOR:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000013184445944,79094314.07897729,25836502.599204574,913962.7514959001,438473.423252895,4720424.663127804,149180.07309967247,0.0,39641019.41563697,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000038186903936,81607235.01180811,23433657.347876005,913962.7514959001,194813.59912604262,4618322.922426349,119312.11413860306,0.0,43338225.49868144,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000077398697044,81443346.58906618,22429740.698760387,913962.7514959001,145967.37412523094,4517408.4112679325,59576.19621646439,0.0,43535722.45814611,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.000045437980027,84100999.53784092,21729431.235979646,913962.7514959001,97406.7995630209,4383251.47290439,59576.19621646439,0.0,46196233.00973509,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.000043671996917,87312893.56031503,21691689.615990315,2741888.254487699,97406.7995630209,4315579.388951098,119312.11413860306,0.0,47322876.08500758,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000051478895443,93332836.13695972,24393151.97135015,5712267.196849375,292220.39868906356,4315579.388951098,179048.03206074148,0.0,47671199.74452992,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.000019256927043,169283084.35146385,30469896.092068538,6397739.2604713,584726.447816728,4484165.9840628095,358096.06412148295,0.0,90003496.88135295,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.00002380105923,131182340.25436486,36530096.29223999,5712267.196849375,877232.4969443938,4720424.663127804,776087.7678707795,0.0,64662747.50081361,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999979986311992,97612429.64831781,37091361.89418331,2513397.5666137254,1657343.844764368,4821339.174286224,1164211.5126590051,0.0,46914083.74774623,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.000009555042496,179158553.90893131,37806136.01356445,1713680.159054812,1852157.4438904074,4889011.258239515,1373287.2253864906,0.0,97597408.15679112,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.00000356617148,162653336.03856605,38631885.27524645,1713680.159054812,1608497.6197635545,4720424.663127804,1343419.2664254215,0.0,83186915.5612854,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.00005506882635,96073227.23761205,39324937.046586715,1713680.159054812,1364837.795636699,4720424.663127804,1194079.4716200747,0.0,43839872.32283178,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.000072784222002,94798525.73816192,38594952.87661496,1713680.159054812,1169738.5460720598,4955496.112649762,1074607.6357757982,0.0,43352226.92007851,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.00002771304446,169715957.13710108,37267631.61147033,1713680.159054812,1315991.5706358887,4955496.112649762,955295.5216371961,0.0,88573312.93520422,0.0 
