Time,CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 1:Des Tot Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Heat Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Cool Mass Flow [kg/s],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Sens Cool Cap [W],CENTRAL SYSTEM_UNIT1:DesPer 2:Des Tot Cool Cap [W]
01:00:00,5.519842E-01,1.738891E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.044471E+03,1.524121E-01,1.436157E+03,2.094276E+03
02:00:00,5.548754E-01,1.747032E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.061285E+03,9.298679E-02,8.222100E+02,1.366586E+03
03:00:00,5.561675E-01,1.750671E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.073895E+03,5.681348E-02,4.461350E+02,9.181585E+02
04:00:00,5.568783E-01,1.752672E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.086505E+03,3.373430E-02,2.016265E+02,6.068330E+02
05:00:00,5.562225E-01,1.750828E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.094912E+03,3.373430E-02,1.932197E+02,5.981927E+02
06:00:00,5.527469E-01,1.741045E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.086505E+03,6.511453E-02,5.169229E+02,1.077389E+03
07:00:00,5.493068E-01,1.731361E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.057081E+03,1.167512E-01,1.065159E+03,1.868479E+03
08:00:00,5.483646E-01,1.728708E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.856240E+02,1.752538E-01,1.724462E+03,2.735152E+03
09:00:00,5.550154E-01,1.747424E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.057598E+02,2.196239E-01,2.250157E+03,3.328275E+03
10:00:00,5.590145E-01,1.758681E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.343024E+02,2.676879E-01,2.804583E+03,3.820129E+03
11:00:00,5.597742E-01,1.760830E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.712518E+02,3.087125E-01,3.279828E+03,4.281442E+03
12:00:00,5.600326E-01,1.761567E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.292180E+02,3.360780E-01,3.596805E+03,4.563377E+03
13:00:00,5.602118E-01,1.762077E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.955910E+02,3.747266E-01,4.018717E+03,4.975088E+03
14:00:00,5.602103E-01,1.762074E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.745741E+02,4.266758E-01,4.561606E+03,5.531392E+03
15:00:00,5.600577E-01,1.761643E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.745741E+02,4.674656E-01,4.971448E+03,5.897237E+03
16:00:00,5.585782E-01,1.757479E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,6.997944E+02,4.851107E-01,5.123550E+03,6.014755E+03
17:00:00,5.528831E-01,1.741450E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.334214E+02,4.900862E-01,5.140092E+03,6.020854E+03
18:00:00,5.436971E-01,1.715593E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,7.754551E+02,1.204711E-01,1.521708E+03,2.065857E+03
19:00:00,5.349221E-01,1.690887E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.385058E+02,1.774159E-01,2.179609E+03,2.871814E+03
20:00:00,5.319489E-01,1.682502E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,8.847429E+02,1.848535E-01,2.225546E+03,2.967648E+03
21:00:00,5.308540E-01,1.679407E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.225733E+02,1.625096E-01,1.918286E+03,2.636914E+03
22:00:00,5.325129E-01,1.684073E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.604037E+02,1.351257E-01,1.550264E+03,2.226414E+03
23:00:00,5.392019E-01,1.702905E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,9.898273E+02,3.913187E-01,4.030271E+03,5.217791E+03
24:00:00,5.462550E-01,1.722762E+04,3.373430E-02,0.000000E+00,0.000000E+00,3.373430E-02,1.019251E+03,2.754155E-01,2.700740E+03,3.596430E+03
Coinc Peak   ,5.602118E-01,4.900862E-01,1.762077E+04,5.140092E+03
NonCoinc Peak,5.602118E-01,4.900862E-01,1.762077E+04,5.140092E+03
