Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.000185862370813,3491823.420621139,18986537.870657187,83652.61855354601,29359.646160636934,2524530.5472392533,262245.8146182114,9989.88619413263,8525.071726859142,0.0,0.0,18050494.379274216,0.0,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000180708552318,3415359.397878702,22842657.00474246,83652.61855354601,13044.481225768317,2321611.218745075,256573.49569035263,7989.769793380162,5115.043036115492,0.0,0.0,22229556.061302338,0.0,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,22.000202085836147,3405636.924703201,23594844.03398897,83652.61855354601,9773.797516668043,2283389.6400247477,250967.13395932948,3989.536991875235,3410.0286907436634,0.0,0.0,23171387.005021483,0.0,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,22.000244083322254,3430486.5655486113,25748990.25395927,83652.61855354601,6522.2406128841585,2242612.762173181,243513.97071691064,3989.536991875235,1705.0143453718283,0.0,0.0,25340194.93270039,0.0,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,22.00026001431724,3555844.7504402,26952206.55534356,250957.855660638,6522.2406128841585,2169503.715627116,239754.41049728324,7989.769793380162,3410.0286907436634,0.0,0.0,26252852.339852743,0.0,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000560202453414,4035962.465901865,26583671.0257875,522828.86595966254,19566.721838652476,2409871.751499703,239754.41049728324,11990.002594885089,5115.043036115492,0.0,0.0,25000904.07648873,0.0,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.00068543724,4291427.666821231,27353689.57061754,585568.329874822,39152.57048262144,2790879.5844359784,249120.3324479338,23980.005189770178,13640.114762974627,0.0,0.0,23879301.58739831,0.0,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.000726331353903,4479416.599460175,29296883.412108444,522828.86595966254,58738.41912658998,3019468.305834065,262245.8146182114,51970.93899067497,27280.229525949253,0.0,0.0,24654908.742664717,0.0,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,22.00035441995306,3830457.4521620525,28359824.74344644,230044.7010222515,110973.72444561248,2712798.4135154476,267852.1763492346,77961.75639082717,41600.62779036017,0.0,0.0,23223935.52189415,0.0,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.000682514096766,3473215.975642325,28512063.76097018,156848.65978789877,124018.20567138083,2430885.371659916,271611.73656886193,91962.57119609449,58650.77124407846,0.0,0.0,23204729.238038104,0.0,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,22.00060732568028,3472257.096027027,27353443.500675295,156848.65978789877,107703.04073651227,2456052.9016004917,262245.8146182114,89962.45479534201,67175.8429709376,0.0,0.0,22341310.527254418,0.0,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,22.000541170054724,3448914.7329943404,27064221.923777252,156848.65978789877,91387.87580164369,2433057.8820045,262245.8146182114,79961.87279157966,69905.58816024504,0.0,0.0,22329831.61272279,0.0,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.00089926769503,3393899.081810888,26420049.65931934,156848.65978789877,78324.26777055899,2386409.541030472,275305.33959165344,71961.40718856991,63765.81428019395,0.0,0.0,22053310.945835963,0.0,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,22.000543230537147,3472237.093763765,26496549.240095373,156848.65978789877,88117.19209254326,2448016.388041509,275305.33959165344,63971.63739518969,57970.48774264223,0.0,0.0,22606238.083914347,0.0,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.000606135182053,3529373.5253839036,25515260.760320257,156848.65978789877,71802.02715767492,2524725.490616589,271611.73656886193,55971.17179217984,52175.161205090524,0.0,0.0,21959405.60253692,0.0,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.001136015976705,3759385.1220856113,25658185.122340128,271871.0102990245,68531.3434485745,2633659.9518394377,275305.33959165344,51970.93899067497,49445.41601578309,0.0,0.0,22078944.054022405,0.0,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,22.000615366847736,4514351.625310491,26878896.985426754,585568.329874822,71802.02715767492,3052358.89628899,290343.58047016273,53971.055391427355,47740.40167041126,0.0,0.0,22605134.410927046,0.0,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.000550416159893,5295653.296224246,26127551.361165285,815613.0308970734,94639.43270542756,3656383.4267305257,318441.34632211406,51970.93899067497,46715.67082647567,0.0,0.0,20700168.970715005,0.0,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.00086591066882,6051917.221013391,24896681.144895848,1097940.6185152913,166460.58666841884,4004673.0667172875,327807.2682727643,51970.93899067497,44330.37297966761,0.0,0.0,19510137.80894493,0.0,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,22.000416003817328,6360824.952108653,25641414.875642337,1216765.360778851,212154.52456924066,4150243.479685992,318441.34632211406,51970.93899067497,43650.08947823131,0.0,0.0,20897956.12754384,0.0,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.000860920302205,6433053.655783261,25067933.523367424,1216765.360778851,172982.8272813029,4224217.7688835785,309075.4243714635,51970.93899067497,45010.656481103826,0.0,0.0,20840268.476334523,0.0,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,22.00043672082218,6050035.597108647,26506020.594596907,920178.804089006,127288.88938048104,4087454.979919541,303403.1054436047,49970.82258992248,46715.67082647567,0.0,0.0,22711324.673241947,0.0,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.000489521332927,5097090.995670479,26361271.714958593,512372.28864046925,84846.50838344306,3527470.9569711694,290343.58047016273,33980.58719353241,37510.31559818029,0.0,0.0,23487565.755572215,0.0,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.00052727677164,4346929.116229937,26666256.571782824,209131.546383865,58738.41912658998,3045949.834236347,271611.73656886193,17990.35179714245,20460.17214446194,0.0,0.0,24843398.449275836,0.0,0.0 
