Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Dewpoint Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Mean Air Temperature [C](TimeStep),Electricity:Facility [J](TimeStep),NaturalGas:Facility [J](TimeStep),InteriorEquipment:Electricity [J](TimeStep),General:InteriorLights:Electricity [J](TimeStep),dishwasher:InteriorEquipment:Electricity [J](TimeStep),refrigerator:InteriorEquipment:Electricity [J](TimeStep),clotheswasher:InteriorEquipment:Electricity [J](TimeStep),gas_dryer:InteriorEquipment:Electricity [J](TimeStep),gas_range:InteriorEquipment:Electricity [J](TimeStep),television:InteriorEquipment:Electricity [J](TimeStep),InteriorEquipment:NaturalGas [J](TimeStep),Heating:Electricity [J](TimeStep),Heating:NaturalGas [J](TimeStep),Cooling:Electricity [J](TimeStep) 
 01/12  01:00:00,-2.0,-2.000002335045541,-2.000002335045541,22.00012177557106,4383487.564600674,38203008.80772901,3077176.1879200563,125478.927830319,29359.646160636934,262245.8146182114,9989.88619413263,8525.071726859142,0.0,0.0,399191.4000475487,0.0,37266966.29373179,0.0 
 01/12  02:00:00,-4.2,-4.2,-4.2,22.000083087764533,4196599.938708598,40524069.69059743,2830452.281021234,125478.927830319,13044.481225768317,256573.49569035263,7989.769793380162,5115.043036115492,0.0,0.0,319125.02881530335,0.0,39910968.749773115,0.0 
 01/12  03:00:00,-5.9,-6.198630539634405,-6.198630539634405,21.9999856585904,4169541.5190093764,41088382.96211199,2786331.095781763,125478.927830319,9773.797516668043,250967.13395932948,3989.536991875235,3410.0286907436634,0.0,0.0,236979.82523833396,0.0,40664925.93488279,0.0 
 01/12  04:00:00,-7.2,-7.555630191230219,-7.555630191230219,21.999970014912307,4175002.8790907874,43429688.256644264,2738474.690107224,125478.927830319,6522.2406128841585,243513.97071691064,3989.536991875235,1705.0143453718283,0.0,0.0,200532.11185259442,0.0,43020892.93746899,0.0 
 01/12  05:00:00,-8.0,-8.48978480259312,-8.48978480259312,21.99997887380705,4362832.644383806,44832288.45509639,2646634.392862877,376436.783490957,6522.2406128841585,239754.41049728324,7989.769793380162,3410.0286907436634,0.0,0.0,276719.3665492255,0.0,44132934.24382269,0.0 
 01/12  06:00:00,-8.3,-8.6320544214861,-8.6320544214861,22.000020767173524,5045649.282186871,44547901.23093462,2942311.239852438,784243.2989394937,19566.721838652476,239754.41049728324,11990.002594885089,5115.043036115492,0.0,0.0,370686.249027145,0.0,42965134.29375077,0.0 
 01/12  07:00:00,-8.5,-8.82783271692919,-8.82783271692919,22.00029040059778,5422928.213420562,45280187.58475941,3406061.054219706,878352.4948122329,39152.57048262144,249120.3324479338,23980.005189770178,13640.114762974627,0.0,0.0,748178.6297525275,0.0,41805799.62188716,0.0 
 01/12  08:00:00,-8.8,-9.12154745585115,-9.12154745585115,22.000023402846413,5613869.200684754,47300418.69317676,3673144.708155208,784243.2989394937,58738.41912658998,262245.8146182114,51970.93899067497,27280.229525949253,0.0,0.0,1265026.86112407,0.0,42658444.03765967,0.0 
 01/12  09:00:00,-9.5,-9.84154915451958,-9.84154915451958,21.999936246157965,4745359.802087361,47112629.799269706,3265444.0541962506,345067.0515333772,110973.72444561248,267852.1763492346,77961.75639082717,41600.62779036017,0.0,0.0,1578182.5793280303,0.0,41976740.58496924,0.0 
 01/12  10:00:00,-10.3,-10.851947589119767,-10.851947589119767,22.000045576787386,4288801.182387657,48123598.964648195,2901231.5013986616,235272.9896818481,124018.20567138083,271611.73656886193,91962.57119609449,58650.77124407846,0.0,0.0,1933295.3493115837,0.0,42816264.445202276,0.0 
 01/12  11:00:00,-10.7,-11.683582416890017,-11.683582416890017,21.999956669281257,4315035.692920306,47386755.21025539,2937460.7935626325,235272.9896818481,107703.04073651227,262245.8146182114,89962.45479534201,67175.8429709376,0.0,0.0,2036126.6366556163,0.0,42374622.23856458,0.0 
 01/12  12:00:00,-10.8,-11.743740311828423,-11.743740311828423,21.999974419817846,4287636.847771403,46907902.29036012,2914613.264129619,235272.9896818481,91387.87580164369,262245.8146182114,79961.87279157966,69905.58816024504,0.0,0.0,2183609.7041971404,0.0,42173511.98023029,0.0 
 01/12  13:00:00,-10.6,-11.523093849872815,-11.523093849872815,22.000447558043827,4238395.540593999,46784119.96727204,2859852.9641917683,235272.9896818481,78324.26777055899,275305.33959165344,71961.40718856991,63765.81428019395,0.0,0.0,2148401.4294528635,0.0,42417381.25432257,0.0 
 01/12  14:00:00,-10.3,-11.438126231914245,-11.438126231914245,21.999780535317697,4327749.974655548,46810374.80627337,2937831.2192934295,235272.9896818481,88117.19209254326,275305.33959165344,63971.63739518969,57970.48774264223,0.0,0.0,1896477.9350964525,0.0,42920063.65042461,0.0 
 01/12  15:00:00,-9.8,-10.839810800675263,-10.839810800675263,22.00047068818673,4404789.780106509,45271817.32285781,3042120.9823455065,235272.9896818481,71802.02715767492,271611.73656886193,55971.17179217984,52175.161205090524,0.0,0.0,1757546.867703995,0.0,41715962.16530308,0.0 
 01/12  16:00:00,-9.3,-10.26873986632781,-10.26873986632781,22.000285690875735,4720149.382535793,45414216.96579791,3179816.025349182,407806.5154485367,68531.3434485745,275305.33959165344,51970.93899067497,49445.41601578309,0.0,0.0,1874248.8595692539,0.0,41834975.89764546,0.0 
 01/12  17:00:00,-9.0,-9.631936030197465,-9.631936030197465,21.999860660671494,5716685.114076646,46143728.5213471,3698365.8101352453,878352.4948122329,71802.02715767492,290343.58047016273,53971.055391427355,47740.40167041126,0.0,0.0,2322975.921478171,0.0,41869965.94699837,0.0 
 01/12  18:00:00,-9.0,-9.5608035705968,-9.5608035705968,22.00054931482568,6747905.707676932,44578305.675194845,4441178.583939641,1223419.5463456102,94639.43270542756,318441.34632211406,51970.93899067497,46715.67082647567,0.0,0.0,3088933.389152113,0.0,39150923.28488497,0.0 
 01/12  19:00:00,-9.1,-10.008556105180014,-10.008556105180014,22.00056383626829,7717900.978743789,43181031.0709133,4856723.7382446425,1646910.9277729366,166460.58666841884,327807.2682727643,51970.93899067497,44330.37297966761,0.0,0.0,2624965.7872353313,0.0,37794487.735072434,0.0 
 01/12  20:00:00,-9.4,-10.742193848268183,-10.742193848268183,21.999889908653902,8108282.587392055,44156203.454552926,5029727.321527366,1825148.0411682762,212154.52456924066,318441.34632211406,51970.93899067497,43650.08947823131,0.0,0.0,1882795.5296278403,0.0,39412744.70652455,0.0 
 01/12  21:00:00,-10.1,-11.31333528157844,-11.31333528157844,22.00032784600185,8215058.7326075155,43753810.776483476,5133937.094135564,1825148.0411682762,172982.8272813029,309075.4243714635,51970.93899067497,45010.656481103826,0.0,0.0,1596336.5856489816,0.0,39526145.72949175,0.0 
 01/12  22:00:00,-10.9,-12.205826279051855,-12.205826279051855,21.999871734385934,7660370.774581437,45728108.71272526,4975935.72170261,1380268.2061335088,127288.88938048104,303403.1054436047,49970.82258992248,46715.67082647567,0.0,0.0,1488115.634091579,0.0,41933412.791394405,0.0 
 01/12  23:00:00,-12.1,-13.098383856871454,-13.098383856871454,22.000304839763402,6389998.562642258,46114118.75531184,4296337.176578596,768558.4329607037,84846.50838344306,290343.58047016273,33980.58719353241,37510.31559818029,0.0,0.0,1152143.2788736224,0.0,43240412.795939125,0.0 
 01/12  24:00:00,-13.5,-14.428912969801702,-14.428912969801702,22.000281196776722,5402557.168960696,47542315.56753068,3714080.272529392,313697.3195757975,58738.41912658998,271611.73656886193,17990.35179714245,20460.17214446194,0.0,0.0,716125.7237120039,0.0,45719457.44503102,0.0 
